transaction_id,member_id,date,mcc,amount
T0000193,M00004,2025-10-06,5311,59.74
T0000194,M00004,2025-09-17,5722,242.76
T0000195,M00004,2025-08-10,7011,31.53
T0000196,M00004,2026-01-15,3501,248.52
T0000197,M00004,2025-12-08,5651,82.31
T0000198,M00004,2025-10-03,5722,56.8
T0000199,M00004,2025-10-25,3501,813.14
T0000200,M00004,2026-01-01,4511,23.2
T0000201,M00004,2025-08-25,3001,46.82
T0000202,M00004,2026-03-18,5941,19.44
T0000203,M00004,2026-07-10,5812,172.86
T0000204,M00004,2025-11-10,5541,361.11
T0000205,M00004,2026-01-06,4900,354.22
T0000206,M00004,2026-05-24,3001,226.77
T0000207,M00004,2026-03-12,7011,54.73
T0000208,M00004,2026-04-05,3002,46.28
T0000209,M00004,2025-08-02,5411,12.54
T0000210,M00004,2026-04-12,5941,510.75
T0000211,M00004,2026-05-15,5651,106.59
T0000212,M00004,2025-12-04,5812,40.77
T0000213,M00004,2025-07-23,7011,251.65
T0000214,M00004,2026-06-09,4511,25.21
T0000215,M00004,2025-08-16,3501,100.15
T0000216,M00004,2025-07-25,5651,56.11
T0000217,M00004,2025-10-15,4900,126.3
T0000218,M00004,2026-02-25,3002,62.58
T0000219,M00004,2026-05-04,5812,15.63
T0000220,M00004,2026-01-19,5541,71.92
T0000221,M00004,2026-03-31,5941,190.35
T0000222,M00004,2026-04-12,5722,64.77
T0000223,M00004,2026-03-24,5411,144.77
T0000224,M00004,2026-07-10,3501,23.44
T0000225,M00004,2025-10-13,3501,64.96
T0000226,M00004,2025-11-26,4900,35.71
T0000227,M00005,2026-05-18,5651,140.75
T0000228,M00005,2026-06-20,3002,197.89
T0000229,M00005,2026-01-01,5411,133.17
T0000230,M00005,2025-10-27,3503,87.63
T0000231,M00005,2025-12-26,5651,24.58
T0000232,M00005,2026-05-20,4511,66.5
T0000233,M00005,2025-08-29,5651,39.13
T0000234,M00005,2025-12-05,7011,47.27
T0000235,M00005,2025-08-09,5541,45.85
T0000236,M00005,2026-01-28,5722,25.03
T0000237,M00005,2025-10-14,5812,9.42
T0000238,M00005,2026-05-18,3503,34.19
T0000239,M00005,2025-11-08,5311,80.91
T0000240,M00005,2026-05-21,5541,17.32
T0000241,M00005,2026-05-06,3002,67.74
T0000242,M00005,2026-04-30,5812,445.98
T0000243,M00005,2026-02-08,3000,185.5
T0000244,M00005,2026-01-27,5541,345.0
T0000245,M00005,2026-02-28,5651,98.61
T0000246,M00005,2026-03-17,5814,214.33
T0000247,M00005,2025-09-01,4900,32.33
T0000248,M00005,2026-03-05,5722,35.01
T0000249,M00005,2025-09-06,3002,4.31
T0000250,M00005,2025-09-12,4900,218.36
T0000251,M00005,2026-06-06,5541,311.17
T0000252,M00005,2025-08-29,5812,38.35
T0000253,M00005,2025-09-23,5722,51.73
T0000254,M00005,2026-04-27,4511,31.38
T0000255,M00005,2025-10-08,5311,97.77
T0000256,M00005,2026-07-09,5651,205.39
T0000257,M00005,2026-06-30,3001,11.67
T0000258,M00005,2025-08-24,5814,100.43
T0000259,M00005,2025-10-04,3503,50.57
T0000260,M00005,2025-09-10,5732,74.69
T0000261,M00005,2025-11-11,4900,105.53
T0000262,M00005,2026-02-25,3002,55.25
T0000263,M00005,2025-11-18,3000,60.12
T0000264,M00005,2025-08-07,3502,53.85
T0000265,M00005,2026-02-21,7011,175.97
T0000266,M00005,2026-06-16,5311,101.37
T0000267,M00005,2026-05-04,7011,83.14
T0000268,M00005,2025-12-23,5411,18.71
T0000269,M00005,2025-11-28,5814,45.67
T0000270,M00005,2026-01-30,5722,163.8
T0000271,M00005,2026-02-13,4511,69.25
T0000272,M00005,2026-01-28,3502,128.96
T0000273,M00005,2026-05-18,3501,390.14
T0000274,M00005,2025-11-02,4900,188.41
T0000275,M00005,2026-05-30,4511,73.2
T0000276,M00005,2026-03-22,7011,40.01
T0000277,M00005,2026-05-22,3001,5.19
T0000278,M00005,2025-12-05,3000,56.35
T0000279,M00005,2026-05-12,5941,48.13
T0000280,M00005,2026-06-28,3002,98.53
T0000281,M00005,2026-01-08,3503,57.17
T0000282,M00005,2026-03-18,5812,48.41
T0000283,M00005,2026-02-06,4511,11.25
T0000284,M00005,2026-04-17,5812,26.05
T0000285,M00005,2025-11-10,5541,107.41
T0000286,M00006,2025-11-26,5411,92.56
T0000287,M00006,2026-02-16,5411,172.86
T0000288,M00006,2026-07-12,5651,29.64
T0000289,M00006,2026-01-03,5541,96.24
T0000290,M00006,2025-12-01,3000,31.8
T0000291,M00006,2026-04-04,3501,158.35
T0000292,M00006,2026-06-29,5311,77.59
T0000293,M00006,2026-03-01,5411,89.88
T0000294,M00006,2025-09-21,5411,30.49
T0000295,M00006,2026-02-27,4900,135.24
T0000296,M00006,2026-07-19,5941,536.31
T0000297,M00006,2025-12-15,5722,24.34
T0000298,M00006,2026-03-10,3501,47.48
T0000299,M00006,2025-12-29,3501,84.07
T0000300,M00006,2026-06-30,3502,146.41
T0000301,M00006,2026-06-27,4900,38.11
T0000302,M00006,2026-04-15,3501,3.92
T0000303,M00006,2025-10-13,3002,259.61
T0000304,M00006,2026-06-16,3502,142.67
T0000305,M00006,2025-11-07,7011,11.67
T0000306,M00006,2025-10-15,3001,36.32
T0000307,M00006,2025-09-07,5941,319.96
T0000308,M00006,2026-05-19,5941,283.67
T0000309,M00006,2026-01-03,3501,170.48
T0000310,M00006,2026-01-31,4900,55.92
T0000311,M00006,2026-01-17,5722,72.46
T0000312,M00006,2026-04-13,5541,58.5
T0000313,M00006,2025-12-30,5541,206.07
T0000314,M00006,2026-07-03,5311,27.78
T0000315,M00006,2026-07-04,5722,29.79
T0000316,M00006,2025-07-23,4511,183.14
T0000317,M00006,2025-11-23,5541,63.79
T0000318,M00006,2025-12-02,5722,264.67
T0000319,M00006,2025-09-16,5541,34.07
T0000320,M00006,2026-05-13,4511,63.13
T0000321,M00006,2025-09-13,4511,26.51
T0000322,M00006,2026-05-01,3502,67.18
T0000323,M00006,2025-09-11,3002,15.2
T0000324,M00006,2025-09-23,4511,40.95
T0000325,M00006,2025-11-06,5541,15.86
T0000326,M00006,2025-10-24,5411,133.48
T0000327,M00006,2025-07-26,3002,136.54
T0000328,M00006,2025-11-22,5732,11.82
T0000329,M00006,2026-01-16,4511,253.13
T0000330,M00006,2025-08-13,5941,810.31
T0000331,M00007,2025-12-22,3002,69.83
T0000332,M00007,2025-08-05,5732,17.83
T0000333,M00007,2025-09-21,5411,68.04
T0000334,M00007,2026-03-10,3000,79.81
T0000335,M00007,2026-06-27,5411,255.99
T0000336,M00007,2026-04-27,5541,95.56
T0000337,M00007,2025-09-04,3502,40.5
T0000338,M00007,2026-05-09,3000,25.76
T0000339,M00007,2026-07-07,5941,47.38
T0000340,M00007,2026-04-17,5732,24.36
T0000341,M00007,2025-12-10,4511,69.95
T0000342,M00007,2025-12-21,5722,37.93
T0000343,M00007,2025-12-24,5814,14.97
T0000344,M00007,2025-12-25,5541,233.96
T0000345,M00007,2025-09-13,5411,40.54
T0000346,M00007,2026-06-22,5722,18.76
T0000347,M00007,2025-10-31,5814,56.36
T0000348,M00007,2025-10-09,4511,71.41
T0000349,M00007,2025-08-18,5411,11.63
T0000350,M00007,2025-10-27,3502,92.91
T0000351,M00007,2026-02-13,5812,23.4
T0000352,M00007,2025-11-30,4900,369.09
T0000353,M00007,2026-01-29,4900,112.61
T0000354,M00007,2026-01-23,3001,44.71
T0000355,M00007,2025-09-14,5411,31.65
T0000356,M00007,2026-04-16,3000,60.04
T0000357,M00007,2026-03-03,4900,123.07
T0000358,M00007,2026-02-21,3000,65.01
T0000359,M00007,2026-02-21,3002,53.67
T0000360,M00007,2025-07-28,5814,70.69
T0000361,M00007,2025-08-04,5411,36.46
T0000362,M00007,2026-02-11,5411,47.31
T0000363,M00007,2026-01-26,4900,8.28
T0000364,M00007,2026-03-05,3002,176.57
T0000365,M00007,2026-05-22,4900,89.91
T0000366,M00007,2026-01-10,3502,30.77
T0000367,M00007,2026-01-28,5722,445.29
T0000368,M00007,2026-02-25,5311,72.75
T0000369,M00007,2026-02-26,5651,23.66
T0000370,M00007,2026-01-27,7011,157.08
T0000371,M00007,2025-08-22,3001,99.29
T0000372,M00007,2025-11-20,5814,98.95
T0000373,M00007,2026-04-11,4900,43.56
T0000374,M00007,2026-03-07,4900,104.64
T0000375,M00007,2025-08-01,3001,51.33
T0000376,M00007,2026-05-14,5941,116.27
T0000377,M00008,2025-09-11,3000,9.92
T0000378,M00008,2026-03-21,5311,43.21
T0000379,M00008,2025-08-15,5541,373.22
T0000380,M00008,2026-03-30,3000,30.97
T0000381,M00008,2026-06-27,5941,36.46
T0000382,M00008,2025-12-24,4511,42.61
T0000383,M00008,2025-11-24,5941,19.79
T0000384,M00008,2025-08-09,5722,7.33
T0000385,M00008,2026-07-21,4900,52.95
T0000386,M00008,2026-05-04,3503,76.39
T0000387,M00008,2025-08-23,5411,63.28
T0000388,M00008,2025-11-21,5814,57.69
T0000389,M00008,2026-02-26,4511,69.62
T0000390,M00008,2026-02-27,5311,185.46
T0000391,M00008,2026-06-08,3000,55.12
T0000392,M00008,2025-10-23,5311,37.56
T0000393,M00008,2026-04-25,3503,50.34
T0000394,M00008,2026-04-24,5311,119.03
T0000395,M00008,2026-01-01,5411,273.7
T0000396,M00008,2026-04-19,3002,35.58
T0000397,M00008,2026-07-04,5732,73.62
T0000398,M00008,2026-02-21,5941,93.54
T0000399,M00008,2026-02-02,3002,24.72
T0000400,M00008,2025-12-03,4900,68.06
T0000401,M00008,2025-10-28,5411,15.4
T0000402,M00008,2026-05-16,5541,11.37
T0000403,M00008,2025-11-26,3001,96.23
T0000404,M00008,2026-04-16,5941,45.43
T0000405,M00008,2026-02-04,5812,81.64
T0000406,M00008,2025-12-01,3001,65.5
T0000407,M00009,2026-04-19,5732,25.12
T0000408,M00009,2026-02-01,3002,268.0
T0000409,M00009,2025-10-06,5814,17.18
T0000410,M00009,2026-04-25,3502,54.83
T0000411,M00009,2025-12-17,5541,23.52
T0000412,M00009,2026-02-06,5651,117.97
T0000413,M00009,2025-12-30,5941,47.87
T0000414,M00009,2026-04-20,5722,39.7
T0000415,M00009,2025-11-21,4511,156.52
T0000416,M00009,2026-03-18,5732,68.68
T0000417,M00009,2026-03-12,3502,111.79
T0000418,M00009,2026-03-25,7011,24.99
T0000419,M00009,2026-03-09,4511,16.37
T0000420,M00009,2026-02-19,5732,74.23
T0000421,M00009,2026-03-12,3501,48.48
T0000422,M00009,2025-08-03,3000,124.77
T0000423,M00009,2026-06-22,5941,61.56
T0000424,M00009,2025-11-27,3002,81.87
T0000425,M00009,2026-05-03,3502,13.15
T0000426,M00009,2025-08-06,5541,440.73
T0000427,M00009,2025-07-28,3002,56.59
T0000428,M00009,2025-08-04,5941,133.97
T0000429,M00009,2025-08-30,3002,28.9
T0000430,M00009,2026-01-16,3000,90.74
T0000431,M00009,2026-04-02,5722,18.12
T0000432,M00009,2025-11-21,5722,104.8
T0000433,M00009,2025-12-03,3501,46.71
T0000434,M00009,2025-12-23,4900,68.66
T0000435,M00009,2025-11-24,4900,134.02
T0000436,M00009,2025-08-17,5814,19.44
T0000437,M00009,2026-03-19,5651,33.63
T0000438,M00009,2025-10-27,7011,105.35
T0000439,M00009,2025-10-26,3501,543.6
T0000440,M00009,2026-06-14,5941,58.09
T0000441,M00009,2026-06-22,4900,120.44
T0000442,M00009,2025-11-07,5814,59.92
T0000443,M00009,2025-10-03,4900,465.1
T0000444,M00010,2026-05-08,5812,13.12
T0000445,M00010,2026-02-06,5541,5.44
T0000446,M00010,2025-12-09,5941,89.79
T0000447,M00010,2025-08-09,5814,76.67
T0000448,M00010,2025-09-28,5411,50.16
T0000449,M00010,2026-06-07,5541,59.97
T0000450,M00010,2025-12-07,5311,1477.78
T0000451,M00010,2025-12-03,5722,51.51
T0000452,M00010,2025-11-03,3503,111.07
T0000453,M00010,2025-12-02,5311,34.84
T0000454,M00010,2025-10-10,7011,89.59
T0000455,M00010,2025-08-13,3002,52.55
T0000456,M00010,2026-07-12,3502,44.23
T0000457,M00010,2026-03-15,5732,411.13
T0000458,M00010,2026-04-03,5651,216.41
T0000459,M00010,2026-06-30,3503,76.46
T0000460,M00010,2026-01-28,5651,6.66
T0000461,M00010,2025-10-19,5311,46.48
T0000462,M00010,2026-06-18,5411,995.28
T0000463,M00010,2026-07-07,3002,52.95
T0000464,M00010,2025-12-26,5812,200.98
T0000465,M00010,2026-05-15,3503,282.01
T0000466,M00010,2026-01-13,3502,83.01
T0000467,M00010,2025-12-06,3502,28.74
T0000468,M00010,2026-01-12,5651,5.84
T0000469,M00010,2025-08-08,4900,132.18
T0000470,M00010,2026-05-16,3501,29.53
T0000471,M00010,2026-05-24,5812,79.53
T0000472,M00010,2025-10-21,3502,19.11
T0000473,M00010,2025-10-26,5722,51.15
T0000474,M00010,2026-03-31,5732,68.97
T0000475,M00010,2026-07-12,3002,87.23
T0000476,M00010,2025-11-28,4900,21.87
T0000477,M00010,2025-12-18,4900,220.72
T0000478,M00010,2026-01-10,3000,36.71
T0000479,M00010,2026-03-19,7011,12.5
T0000480,M00010,2026-01-27,5722,59.8
T0000481,M00010,2026-03-04,5814,69.02
T0000482,M00010,2026-05-27,5311,78.3
T0000483,M00010,2025-08-19,3503,260.38
T0000484,M00010,2025-09-12,5732,52.64
T0000485,M00010,2026-03-22,5814,59.17
T0000486,M00010,2026-06-19,5941,22.13
T0000487,M00010,2025-09-22,5311,151.5
T0000488,M00010,2025-12-07,5311,80.18
T0000489,M00011,2026-03-20,5311,43.81
T0000490,M00011,2025-12-30,7011,19.54
T0000491,M00011,2026-03-26,4900,36.92
T0000492,M00011,2026-04-03,5311,95.43
T0000493,M00011,2026-05-13,5541,20.15
T0000494,M00011,2026-02-25,3000,14.98
T0000495,M00011,2025-10-02,4511,7.97
T0000496,M00011,2025-10-01,4511,137.14
T0000497,M00011,2026-03-24,3002,38.66
T0000498,M00011,2026-05-11,5541,1245.47
T0000499,M00011,2026-04-01,3503,24.67
T0000500,M00011,2026-02-20,3001,26.54
T0000501,M00011,2026-06-22,4900,37.89
T0000502,M00011,2025-09-24,5812,85.04
T0000503,M00011,2025-09-06,3503,41.67
T0000504,M00011,2025-10-12,5411,123.02
T0000505,M00011,2026-06-29,3501,25.06
T0000506,M00011,2025-08-28,3502,16.75
T0000507,M00011,2025-10-28,4511,11.04
T0000508,M00011,2025-08-01,3503,7.22
T0000509,M00011,2025-12-26,5722,39.72
T0000510,M00011,2026-02-20,3502,49.35
T0000511,M00011,2026-04-20,4900,35.47
T0000512,M00011,2025-11-23,3000,231.23
T0000513,M00011,2026-03-30,3002,227.7
T0000514,M00011,2025-07-26,5722,47.71
T0000515,M00011,2025-11-28,5311,11.09
T0000516,M00011,2025-10-09,3503,37.84
T0000517,M00011,2025-12-22,4900,36.6
T0000518,M00011,2025-10-25,5722,34.57
T0000519,M00011,2026-01-06,3000,33.19
T0000520,M00011,2026-03-15,5814,34.69
T0000521,M00011,2026-02-04,5651,45.31
T0000522,M00011,2025-12-05,3501,35.32
T0000523,M00011,2026-06-06,4900,82.13
T0000524,M00011,2026-04-17,5311,95.62
T0000525,M00011,2026-03-08,3502,26.83
T0000526,M00011,2025-08-13,5311,237.71
T0000527,M00011,2026-06-16,5814,25.03
T0000528,M00011,2025-09-26,4900,13.23
T0000529,M00011,2026-04-03,5411,97.59
T0000530,M00011,2026-04-08,4511,29.45
T0000531,M00011,2026-02-18,5732,91.95
T0000532,M00011,2026-04-06,5814,6.03
T0000533,M00011,2026-05-24,5411,268.39
T0000534,M00011,2026-03-21,5814,130.62
T0000535,M00012,2026-01-01,3000,14.87
T0000536,M00012,2025-10-14,4511,31.9
T0000537,M00012,2026-03-01,3502,28.96
T0000538,M00012,2025-11-27,4900,6.92
T0000539,M00012,2025-08-25,3501,46.96
T0000540,M00012,2026-02-16,3001,53.11
T0000541,M00012,2026-01-20,5541,136.39
T0000542,M00012,2025-11-11,7011,16.46
T0000543,M00012,2026-06-03,5411,14.58
T0000544,M00012,2026-02-10,5814,104.69
T0000545,M00012,2026-01-15,4511,182.5
T0000546,M00012,2025-12-24,5311,13.86
T0000547,M00012,2025-10-08,3000,196.67
T0000548,M00012,2026-05-10,5732,69.24
T0000549,M00012,2026-03-12,4900,198.7
T0000550,M00012,2025-09-27,3503,62.16
T0000551,M00012,2026-02-22,5722,5.35
T0000552,M00012,2026-04-14,4511,57.28
T0000553,M00012,2026-03-28,3502,192.51
T0000554,M00012,2025-10-05,3000,27.28
T0000555,M00012,2025-11-10,4900,45.24
T0000556,M00012,2025-08-22,4511,55.92
T0000557,M00012,2026-03-14,5411,3.67
T0000558,M00012,2025-08-29,5411,354.73
T0000559,M00012,2025-11-30,5812,27.08
T0000560,M00012,2026-01-24,5812,110.58
T0000561,M00012,2026-05-13,4900,61.15
T0000562,M00012,2025-11-15,5812,234.54
T0000563,M00012,2025-10-19,5311,100.09
T0000564,M00012,2025-10-28,5311,52.72
T0000565,M00012,2026-06-15,5311,27.29
T0000566,M00012,2026-07-20,3503,148.09
T0000567,M00012,2026-05-14,3000,10.24
T0000568,M00012,2026-06-19,5722,127.22
T0000569,M00012,2026-07-19,5814,22.22
T0000570,M00012,2025-11-07,7011,233.29
T0000571,M00012,2026-01-13,5311,78.36
T0000572,M00012,2025-09-10,5411,126.99
T0000573,M00012,2025-08-20,5411,72.38
T0000574,M00012,2026-07-15,5732,11.56
T0000575,M00012,2025-10-24,4900,28.2
T0000576,M00012,2025-12-25,5732,130.63
T0000577,M00012,2026-07-15,5541,78.78
T0000578,M00012,2026-03-05,4900,217.24
T0000579,M00012,2026-02-27,5732,99.81
T0000580,M00012,2025-11-08,3503,25.36
T0000581,M00012,2026-04-23,5941,30.08
T0000582,M00013,2026-06-04,5541,73.92
T0000583,M00013,2026-05-08,3000,6.59
T0000584,M00013,2026-04-16,5541,355.47
T0000585,M00013,2026-03-16,3501,103.73
T0000586,M00013,2026-03-09,3502,227.47
T0000587,M00013,2026-06-13,3501,13.73
T0000588,M00013,2025-12-28,7011,231.5
T0000589,M00013,2025-10-07,3000,621.1
T0000590,M00013,2025-08-01,3000,17.8
T0000591,M00013,2026-02-20,5651,144.23
T0000592,M00013,2025-08-23,5311,66.76
T0000593,M00013,2026-06-06,3502,14.23
T0000594,M00013,2026-01-10,3502,109.17
T0000595,M00013,2025-10-14,5411,153.49
T0000596,M00013,2026-06-25,5732,36.56
T0000597,M00013,2025-07-29,5812,213.99
T0000598,M00013,2026-06-11,5411,12.59
T0000599,M00013,2025-12-13,4511,14.96
T0000600,M00013,2025-10-07,5941,76.45
T0000601,M00013,2025-10-26,5311,68.4
T0000602,M00013,2026-03-28,5814,32.57
T0000603,M00013,2025-08-03,5411,149.84
T0000604,M00013,2026-03-07,5311,113.4
T0000605,M00013,2026-06-15,3001,157.3
