member_id,nudge_date,channel,acted_within_14d
M00012,2026-05-21,in_app,1
M00012,2026-05-09,email,1
M00012,2026-03-15,email,1
M00012,2026-03-14,in_app,0
M00012,2026-04-28,push,1
M00012,2026-01-13,email,0
M00012,2026-01-03,push,0
M00012,2026-05-17,push,0
M00012,2025-09-27,email,1
M00012,2026-01-15,push,0
M00012,2025-09-03,in_app,1
M00012,2025-10-19,email,0
M00013,2025-08-17,in_app,0
M00013,2026-02-15,email,0
M00013,2025-09-05,in_app,0
M00013,2026-07-02,push,0
M00013,2025-07-27,push,0
M00013,2025-08-16,email,1
M00013,2025-12-29,push,0
M00014,2026-04-10,in_app,0
M00014,2026-03-15,in_app,0
M00014,2025-11-24,in_app,1
M00014,2025-11-05,email,1
M00014,2025-12-30,in_app,1
M00014,2025-09-06,email,1
M00014,2026-05-03,email,0
M00015,2025-10-22,push,1
M00015,2025-07-24,email,0
M00015,2026-06-01,email,1
M00015,2026-03-21,in_app,0
M00015,2025-08-23,email,1
M00015,2025-11-20,in_app,0
M00015,2026-06-06,push,0
M00015,2026-05-20,push,0
M00016,2026-02-14,in_app,1
M00016,2026-06-28,in_app,1
M00016,2026-05-15,push,0
M00016,2026-05-01,in_app,1
M00016,2025-10-19,push,0
M00016,2025-08-25,in_app,1
M00016,2026-04-04,in_app,1
M00016,2025-09-19,in_app,0
M00016,2025-11-14,push,1
M00016,2026-05-08,in_app,0
M00016,2026-06-02,in_app,0
M00016,2026-06-09,in_app,0
M00017,2026-03-03,push,0
M00017,2025-09-22,push,0
M00017,2025-12-24,in_app,0
M00017,2025-08-06,push,1
M00017,2025-11-18,in_app,0
M00017,2026-06-12,in_app,1
M00017,2026-02-27,email,1
M00017,2026-01-01,email,1
M00017,2026-06-07,push,1
M00017,2026-01-25,email,1
M00017,2025-08-09,push,0
M00017,2026-03-27,push,1
M00018,2025-11-24,push,0
M00018,2026-05-16,email,0
M00018,2025-12-14,email,0
M00018,2026-01-07,email,1
M00018,2026-01-04,in_app,0
M00018,2026-01-22,email,1
M00018,2026-04-30,email,0
M00018,2025-12-23,in_app,0
M00018,2025-08-28,email,1
M00018,2026-03-28,in_app,1
M00019,2026-04-27,push,0
M00019,2026-04-02,push,0
M00019,2026-07-15,in_app,0
M00019,2025-10-22,in_app,0
M00019,2025-12-28,email,0
M00019,2025-11-17,push,1
M00019,2026-03-11,in_app,1
M00019,2026-06-05,in_app,0
M00020,2026-05-21,email,0
M00020,2025-08-03,in_app,0
M00020,2025-11-07,in_app,0
M00020,2026-04-25,push,1
M00020,2025-11-14,in_app,1
M00020,2025-10-22,in_app,0
M00021,2026-06-13,email,0
M00021,2025-10-25,email,0
M00021,2025-10-15,in_app,0
M00021,2026-03-26,email,1
M00021,2026-03-29,push,0
M00021,2026-07-08,email,0
M00021,2026-04-07,push,0
M00021,2025-09-12,email,0
M00021,2026-02-12,email,0
M00022,2026-07-20,email,0
M00022,2025-10-24,email,0
M00022,2025-08-09,email,0
M00022,2026-07-02,push,0
M00022,2025-12-21,in_app,0
M00022,2026-06-10,push,0
M00022,2026-02-27,in_app,0
M00022,2025-10-31,in_app,0
M00022,2025-10-13,email,0
M00023,2026-01-16,in_app,0
M00023,2025-10-03,push,1
M00023,2025-08-12,email,0
M00023,2026-01-29,push,0
M00023,2025-09-04,in_app,0
M00024,2025-09-29,in_app,1
M00024,2026-06-13,in_app,0
M00024,2025-10-24,in_app,1
M00024,2026-06-15,in_app,0
M00024,2026-03-05,in_app,1
M00024,2026-03-23,in_app,1
M00024,2025-11-21,push,0
M00024,2026-03-16,in_app,1
M00024,2026-05-25,in_app,1
M00024,2026-04-06,email,0
M00025,2025-11-10,email,0
M00025,2025-09-09,email,0
M00025,2026-02-17,email,0
M00025,2026-04-21,in_app,0
M00025,2026-05-03,push,0
M00025,2025-08-30,push,0
M00026,2025-10-13,email,0
M00026,2025-09-07,push,0
M00026,2026-05-11,push,1
M00026,2026-02-08,in_app,1
M00026,2026-03-18,push,0
M00026,2025-08-14,push,0
M00026,2025-08-01,email,0
M00026,2026-02-22,email,0
M00026,2026-03-30,push,1
M00027,2026-05-08,in_app,0
M00027,2026-03-31,push,0
M00027,2026-07-23,push,0
M00028,2025-08-26,in_app,1
M00028,2026-05-09,push,0
M00028,2026-05-13,email,0
M00028,2025-08-09,push,0
M00028,2025-09-23,in_app,1
M00028,2026-06-19,in_app,0
M00028,2026-07-02,push,1
M00028,2025-09-28,push,1
M00028,2026-01-14,push,0
M00029,2026-06-01,in_app,1
M00029,2026-06-28,email,0
M00029,2025-08-05,email,1
M00029,2026-07-17,in_app,1
M00029,2025-08-23,push,0
M00029,2025-11-06,push,0
M00029,2026-04-27,push,0
M00029,2026-01-19,push,1
M00029,2026-04-02,email,1
M00030,2025-11-03,email,1
M00030,2026-07-11,push,0
M00030,2026-03-01,email,1
M00030,2026-07-06,push,1
M00030,2026-07-06,in_app,1
M00030,2026-03-16,email,1
M00030,2026-06-28,push,0
M00030,2026-02-22,email,0
M00030,2026-05-21,email,1
M00030,2025-07-26,in_app,1
M00030,2025-11-20,in_app,0
M00030,2026-03-06,in_app,1
M00030,2026-04-01,email,0
M00030,2026-05-25,push,1
M00030,2026-01-18,email,0
M00031,2026-02-27,in_app,0
M00031,2025-12-09,in_app,0
M00031,2025-08-30,email,0
M00031,2025-10-29,in_app,0
M00031,2025-07-24,push,0
M00031,2026-02-21,push,0
M00031,2026-01-13,in_app,0
M00031,2026-06-02,push,0
M00031,2025-09-24,email,1
M00031,2025-10-12,in_app,0
M00031,2026-05-28,email,0
M00032,2026-05-31,push,1
M00032,2025-12-04,email,0
M00032,2026-06-14,push,0
M00032,2025-08-29,push,1
M00032,2026-03-08,in_app,0
M00032,2025-09-24,push,0
M00032,2025-09-03,push,0
M00032,2025-12-07,push,0
M00032,2026-03-14,email,1
M00032,2026-01-16,push,1
M00032,2026-04-12,email,0
M00032,2025-08-15,email,1
M00032,2025-08-01,email,1
M00032,2025-11-08,email,0
M00033,2025-12-27,in_app,0
M00033,2026-01-27,push,0
M00033,2026-02-14,email,0
M00033,2026-05-11,in_app,0
M00033,2026-06-09,push,0
M00033,2026-02-26,push,0
M00033,2025-09-28,push,0
M00033,2026-04-06,in_app,0
M00034,2026-03-03,push,1
M00034,2025-09-18,push,0
M00034,2026-03-21,push,0
M00034,2026-04-07,email,0
M00034,2026-02-07,email,0
M00034,2026-03-05,push,1
M00034,2026-01-08,push,0
M00035,2026-07-21,push,0
M00035,2025-12-04,in_app,1
M00035,2025-09-01,in_app,0
M00035,2026-01-06,push,0
M00035,2026-07-01,push,0
M00035,2025-10-10,push,0
M00035,2025-09-18,email,0
M00035,2026-05-16,in_app,0
M00035,2025-07-23,email,1
M00035,2026-04-12,in_app,0
M00036,2025-12-21,push,0
M00036,2025-09-20,in_app,0
M00036,2026-03-31,push,0
M00036,2025-08-30,push,0
M00036,2026-04-29,in_app,0
M00036,2025-08-11,push,1
M00036,2025-12-08,email,0
M00036,2026-03-28,email,1
M00036,2026-06-16,in_app,0
M00036,2025-09-21,push,0
M00037,2026-07-01,push,1
M00037,2025-07-31,email,1
M00037,2026-01-30,in_app,0
M00037,2026-07-03,in_app,0
M00037,2025-11-25,push,1
M00037,2025-12-19,in_app,1
M00037,2026-04-25,push,1
M00037,2026-01-29,in_app,0
M00037,2026-04-07,in_app,0
M00037,2026-02-27,email,0
M00037,2026-06-25,push,0
M00037,2025-10-13,push,1
M00038,2025-09-25,in_app,0
M00038,2025-11-27,email,0
M00038,2025-10-15,push,0
M00038,2026-07-05,email,0
M00038,2025-12-04,email,0
M00039,2026-04-10,email,0
M00039,2025-09-02,push,0
M00039,2025-10-19,push,1
M00039,2025-11-25,email,0
M00039,2025-10-19,push,1
M00039,2026-05-27,in_app,0
M00039,2025-10-10,in_app,0
M00039,2025-09-11,push,0
M00039,2025-08-06,email,0
M00040,2025-10-21,push,1
M00040,2026-04-02,push,1
M00040,2025-12-25,email,1
M00040,2026-04-17,email,1
M00040,2025-10-20,push,1
M00040,2026-06-09,in_app,0
M00040,2025-10-29,push,1
M00041,2026-06-11,push,0
M00041,2026-06-02,in_app,0
M00041,2026-02-01,push,0
M00041,2025-08-16,push,0
M00041,2025-12-28,push,0
M00041,2026-02-10,email,0
M00041,2025-10-14,email,0
M00041,2025-09-27,push,0
M00041,2026-03-15,push,0
M00041,2025-09-23,push,0
M00041,2026-01-01,push,0
M00041,2026-01-11,in_app,0
M00041,2026-05-08,in_app,0
M00042,2025-11-13,push,0
M00042,2025-08-04,email,1
M00042,2025-11-01,in_app,1
M00042,2026-06-10,in_app,0
M00042,2026-04-15,email,1
M00042,2026-06-12,in_app,1
M00042,2025-12-25,email,0
M00042,2025-08-30,in_app,0
M00043,2025-10-28,push,0
M00043,2025-10-07,in_app,1
M00043,2026-01-26,in_app,0
M00043,2026-06-14,in_app,0
M00043,2026-06-27,email,0
M00043,2026-07-12,in_app,0
M00044,2025-09-13,push,1
M00044,2025-11-15,push,0
M00044,2025-10-23,email,0
M00044,2026-03-18,email,0
M00044,2026-01-24,push,0
M00044,2026-07-07,email,1
M00044,2025-11-13,push,1
M00045,2025-07-23,in_app,1
M00045,2026-05-30,in_app,1
M00045,2026-03-06,push,1
M00045,2026-03-29,email,0
M00045,2025-10-15,email,0
M00045,2026-04-19,email,1
M00045,2026-06-24,in_app,0
M00045,2026-03-05,email,0
M00045,2026-07-17,email,1
M00046,2026-04-13,push,0
M00046,2025-08-21,email,1
M00046,2025-10-02,in_app,0
M00046,2026-06-10,in_app,1
M00046,2026-03-17,email,1
M00046,2025-10-21,push,0
M00046,2026-05-30,push,0
M00046,2026-02-19,in_app,0
M00047,2025-11-24,email,1
M00047,2025-11-08,push,0
M00047,2026-01-21,push,0
M00047,2026-05-15,push,1
M00047,2026-05-17,push,0
M00047,2026-01-27,email,1
M00047,2025-09-13,email,1
M00047,2026-01-20,email,0
M00047,2025-12-17,push,0
M00047,2025-08-05,push,1
M00047,2026-03-30,in_app,0
M00048,2026-04-04,push,1
M00048,2025-10-04,email,1
M00048,2025-08-09,push,0
M00048,2025-09-23,in_app,0
M00048,2026-04-27,email,1
M00048,2025-10-28,in_app,1
M00048,2026-06-02,push,1
M00049,2026-05-09,email,0
M00049,2025-11-27,email,0
M00049,2025-07-23,in_app,0
M00049,2026-02-01,push,0
M00049,2026-04-06,push,0
M00049,2025-12-11,email,0
M00049,2025-12-16,in_app,1
M00049,2026-03-22,in_app,0
M00049,2026-04-10,push,0
M00049,2026-01-29,push,1
M00050,2026-06-19,in_app,1
M00050,2026-06-05,email,1
M00050,2025-12-11,push,1
M00050,2025-09-22,email,1
M00051,2025-12-29,in_app,0
M00051,2026-01-07,push,1
M00051,2026-06-10,email,0
M00052,2026-07-13,in_app,0
M00052,2026-07-22,push,0
M00052,2025-12-07,email,1
M00052,2025-08-29,email,0
M00052,2026-06-03,push,1
M00052,2026-04-14,email,1
M00052,2026-03-10,in_app,0
M00052,2026-01-14,email,1
M00053,2025-10-28,push,1
M00053,2025-11-09,in_app,0
M00053,2025-10-06,push,1
M00054,2025-09-01,push,1
M00054,2025-11-13,in_app,1
M00054,2026-01-19,push,0
M00054,2026-07-18,push,0
M00054,2026-05-16,push,1
M00054,2026-03-26,push,0
M00054,2026-07-10,in_app,0
M00054,2026-04-30,in_app,0
M00054,2025-10-10,in_app,0
M00054,2026-07-02,push,0
M00055,2025-10-14,push,0
M00055,2026-07-05,email,1
M00055,2026-02-05,email,1
M00055,2026-01-02,in_app,1
M00055,2025-12-11,in_app,0
M00056,2026-01-16,in_app,0
M00056,2026-03-10,email,1
M00056,2026-06-16,push,1
M00056,2026-05-31,in_app,1
M00056,2026-04-22,in_app,1
M00057,2025-10-09,push,1
M00057,2026-06-05,in_app,0
M00057,2026-07-15,email,1
M00057,2026-06-18,email,0
M00057,2025-12-12,email,1
M00057,2026-03-20,email,0
M00057,2026-04-02,email,1
M00058,2026-05-09,email,0
M00058,2026-05-30,push,1
M00058,2025-12-30,push,0
M00058,2026-03-31,push,1
M00059,2025-09-01,email,0
M00059,2026-01-09,email,0
M00059,2026-07-01,in_app,1
M00059,2025-11-27,push,1
M00059,2026-04-09,in_app,0
M00059,2025-10-07,push,0
M00059,2025-11-22,in_app,0
M00059,2025-10-10,push,1
M00059,2026-03-12,push,0
M00059,2026-06-14,in_app,0
M00059,2026-05-07,in_app,1
M00060,2025-11-09,in_app,1
M00060,2026-05-18,email,0
M00060,2025-07-27,in_app,1
M00060,2026-05-08,email,0
M00060,2026-03-04,in_app,0
M00060,2026-01-04,in_app,0
M00060,2025-11-04,email,0
M00060,2025-11-25,email,0
M00060,2026-01-12,push,0
M00060,2026-06-30,push,0
M00061,2025-10-29,in_app,1
M00061,2026-03-27,email,1
M00061,2025-08-05,push,0
M00061,2026-06-09,email,1
M00061,2026-07-12,push,1
M00061,2025-07-27,email,1
M00061,2026-05-16,email,1
M00061,2025-12-28,email,0
M00061,2026-06-12,in_app,0
M00061,2025-11-30,in_app,0
M00062,2025-09-12,email,0
M00062,2026-05-17,email,0
M00062,2026-07-16,push,0
M00062,2026-04-21,email,0
M00062,2026-05-05,in_app,0
M00062,2025-12-05,push,0
M00062,2025-09-22,push,0
M00062,2026-01-22,push,0
M00062,2026-01-23,push,0
M00062,2025-11-14,push,0
M00063,2025-11-06,push,1
M00063,2026-05-03,push,1
M00063,2025-09-23,push,1
M00063,2025-12-18,in_app,0
M00063,2026-03-29,in_app,1
M00063,2026-04-06,email,0
M00063,2025-11-17,push,0
M00063,2026-03-22,push,0
M00063,2026-04-08,in_app,1
M00064,2026-01-25,push,0
M00064,2025-10-21,email,0
M00064,2026-07-23,email,0
M00064,2026-02-01,push,0
M00064,2026-01-27,email,0
M00064,2026-04-10,email,0
M00064,2026-07-13,in_app,0
M00064,2025-08-01,email,1
M00065,2026-02-03,in_app,1
M00065,2025-09-21,in_app,0
M00065,2025-10-19,email,0
M00065,2025-08-30,email,0
M00065,2025-09-28,push,1
M00065,2026-01-02,push,0
M00065,2026-03-19,email,0
M00066,2025-08-26,email,0
M00066,2025-09-10,push,0
M00066,2026-03-05,email,1
M00066,2026-02-12,in_app,0
M00066,2025-10-12,in_app,0
M00066,2026-05-08,in_app,0
M00066,2025-12-30,in_app,1
M00066,2026-04-23,in_app,1
M00066,2025-10-24,in_app,0
M00066,2026-03-27,in_app,0
M00066,2025-10-13,push,0
M00066,2026-03-10,push,0
M00067,2026-05-21,push,0
M00067,2025-12-17,email,1
M00067,2025-12-31,in_app,1
M00067,2026-01-16,email,0
M00067,2026-02-02,push,0
M00067,2025-10-17,in_app,0
M00067,2026-03-30,in_app,0
M00067,2025-07-30,email,0
M00067,2026-05-27,email,0
M00067,2026-05-27,email,0
M00067,2026-07-23,email,0
M00067,2026-06-10,email,0
M00067,2026-01-25,email,0
M00068,2026-01-22,push,0
M00068,2025-08-01,email,0
M00068,2025-12-12,email,0
M00068,2025-12-02,push,0
M00068,2025-12-17,push,0
M00068,2026-01-23,push,0
M00068,2026-01-01,in_app,0
M00068,2026-02-03,email,0
M00068,2026-05-09,email,0
M00069,2026-01-03,in_app,0
M00069,2026-06-07,email,1
M00069,2025-12-09,in_app,0
M00069,2025-11-08,email,1
M00069,2026-01-24,in_app,0
M00069,2025-11-04,email,0
M00070,2026-06-12,email,0
M00070,2026-06-21,email,0
M00070,2026-02-26,push,0
M00070,2026-05-18,email,0
M00070,2025-12-27,push,0
M00070,2026-03-17,email,0
M00071,2025-10-24,in_app,0
M00071,2025-11-17,in_app,0
M00071,2026-03-08,in_app,0
M00071,2026-01-30,in_app,1
M00071,2026-01-24,email,1
M00071,2025-08-15,push,0
M00071,2026-03-14,email,1
M00071,2026-03-09,in_app,0
M00071,2026-02-23,in_app,0
M00071,2025-09-22,in_app,1
M00071,2025-08-26,in_app,1
M00071,2025-08-14,push,0
M00071,2026-07-02,email,0
M00071,2025-08-18,email,1
M00071,2026-04-02,email,1
M00071,2026-01-07,push,0
M00072,2025-08-14,in_app,1
M00072,2025-10-25,push,0
M00072,2026-06-29,email,0
M00072,2025-10-03,in_app,1
M00072,2026-03-16,in_app,0
M00072,2026-05-15,email,0
M00072,2025-10-07,in_app,0
M00072,2026-01-13,push,1
M00072,2026-01-25,push,0
M00072,2025-09-14,in_app,0
M00073,2026-04-08,in_app,0
M00073,2026-01-18,push,0
M00073,2026-01-28,push,1
M00073,2026-04-24,in_app,0
M00073,2025-11-15,email,0
M00073,2025-08-11,email,0
M00073,2026-01-01,push,1
M00073,2026-07-03,email,0
M00074,2026-05-25,in_app,0
M00074,2025-10-05,push,0
M00074,2025-11-22,push,1
M00074,2026-04-12,email,0
M00074,2025-09-19,email,0
M00074,2026-05-19,email,0
M00074,2025-12-03,email,0
M00074,2025-09-29,email,0
M00074,2025-09-18,email,1
M00074,2026-06-26,email,0
M00074,2025-08-26,email,0
M00074,2026-07-04,email,0
M00075,2025-07-25,email,1
M00075,2026-05-12,push,1
M00075,2025-09-23,push,1
M00075,2026-05-16,email,1
M00075,2026-05-12,email,1
M00075,2026-06-30,push,0
M00075,2025-11-03,push,1
M00075,2025-12-18,email,1
M00075,2025-11-18,push,1
M00075,2025-12-10,email,0
M00075,2026-06-28,push,1
M00075,2026-07-01,push,0
M00075,2026-05-27,in_app,1
M00076,2026-04-27,email,0
M00076,2025-12-13,push,0
M00076,2025-11-05,email,1
M00076,2026-05-11,push,0
M00076,2025-09-01,in_app,0
M00076,2026-04-12,in_app,0
M00076,2026-01-21,email,0
M00076,2026-01-29,in_app,1
M00076,2026-06-20,push,0
M00076,2025-11-06,in_app,1
M00076,2026-02-06,push,0
M00077,2026-02-07,email,1
M00077,2025-07-27,push,1
M00077,2025-08-05,in_app,1
M00077,2025-12-10,email,1
M00077,2026-06-16,in_app,1
M00077,2025-12-11,email,1
M00077,2026-05-09,email,1
M00078,2026-02-26,in_app,0
M00078,2026-06-06,push,0
M00078,2026-03-27,in_app,0
M00078,2026-01-04,push,1
M00078,2025-11-08,email,0
M00078,2025-11-08,email,1
M00079,2025-10-01,in_app,1
M00079,2026-05-12,push,0
M00079,2026-05-01,push,1
M00079,2025-12-16,in_app,0
M00079,2025-10-24,in_app,1
M00080,2026-04-06,push,1
M00080,2025-10-06,push,1
M00080,2025-10-02,email,0
M00080,2026-07-22,email,0
M00080,2025-10-13,push,0
M00081,2025-10-29,push,0
M00081,2026-02-06,in_app,0
M00081,2025-11-17,email,0
M00082,2026-06-09,push,1
M00082,2026-02-06,in_app,1
M00082,2026-04-03,email,1
M00082,2025-09-18,in_app,1
M00082,2026-04-13,email,0
M00082,2025-12-26,email,0
M00082,2025-08-14,push,1
M00082,2025-12-26,push,1
M00082,2025-11-20,in_app,0
M00082,2026-06-24,in_app,0
M00082,2025-07-29,in_app,0
M00082,2026-05-19,in_app,0
M00082,2026-06-25,email,0
M00083,2026-05-10,in_app,1
M00083,2025-10-03,email,1
M00083,2026-06-16,in_app,0
M00083,2026-05-02,email,0
M00083,2026-04-15,email,0
M00083,2025-12-28,email,0
M00083,2025-12-21,email,1
M00083,2026-07-01,email,0
M00083,2025-07-31,in_app,1
M00083,2025-11-13,push,0
M00083,2025-11-30,email,1
M00084,2026-06-16,push,0
M00084,2026-03-21,in_app,0
M00084,2026-05-05,push,0
M00084,2025-10-26,email,0
M00084,2025-11-05,push,1
M00084,2026-04-21,in_app,0
M00084,2025-09-29,push,0
M00084,2025-12-21,push,0
M00084,2026-03-05,email,0
M00084,2026-01-31,push,0
M00084,2026-07-21,push,0
M00084,2025-09-14,email,1
M00085,2025-11-11,push,1
M00085,2025-10-20,push,0
M00085,2026-06-14,push,0
M00085,2025-11-20,push,0
M00085,2026-04-08,in_app,0
M00085,2025-12-07,in_app,1
M00085,2026-01-31,push,1
M00086,2025-09-06,in_app,0
M00086,2025-07-27,push,0
M00086,2026-05-25,email,0
M00086,2025-09-09,in_app,0
M00086,2026-06-30,push,0
M00086,2025-10-15,push,0
M00086,2026-06-23,push,0
M00087,2026-04-21,in_app,0
M00087,2025-08-25,push,1
M00087,2025-10-18,push,1
M00087,2025-10-28,push,1
M00087,2025-08-17,in_app,1
M00087,2026-04-09,push,1
M00087,2025-09-21,in_app,0
M00087,2025-08-25,in_app,1
M00087,2026-03-22,email,1
M00087,2026-02-14,push,1
M00088,2026-06-21,in_app,1
M00088,2025-11-11,email,1
M00088,2026-03-30,push,1
M00088,2026-06-15,in_app,0
M00089,2025-09-10,email,1
M00089,2025-09-03,in_app,0
M00089,2026-06-17,push,1
M00089,2026-07-03,push,1
M00089,2026-01-08,push,1
M00089,2025-09-03,email,0
M00089,2026-06-26,push,1
M00089,2026-07-03,in_app,0
M00089,2025-08-07,push,0
M00090,2025-12-30,in_app,0
M00090,2026-02-12,in_app,0
M00090,2026-01-30,push,1
M00090,2026-03-05,push,1
M00090,2025-12-11,email,1
M00090,2025-10-22,push,1
M00090,2025-08-01,in_app,0
M00090,2026-03-18,in_app,0
M00090,2026-05-05,push,1
M00090,2025-09-30,in_app,0
M00090,2026-05-17,push,1
M00091,2026-07-03,in_app,1
M00091,2025-10-05,in_app,0
M00091,2026-07-21,in_app,0
M00091,2026-05-29,email,1
M00091,2026-06-04,email,0
M00091,2026-07-04,push,1
M00091,2025-10-07,in_app,0
M00092,2025-08-06,in_app,1
M00092,2026-02-13,in_app,0
M00092,2025-12-26,email,1
M00092,2025-12-21,email,0
M00092,2026-04-12,push,0
M00092,2026-04-10,email,0
M00092,2025-11-17,email,0
M00093,2026-07-20,email,0
M00093,2025-08-10,in_app,0
M00093,2025-07-30,email,1
M00093,2025-10-08,in_app,0
M00093,2026-04-01,email,1
M00093,2025-11-13,push,0
M00093,2026-04-13,push,1
M00093,2025-12-11,push,0
M00094,2025-10-03,push,0
M00094,2026-03-06,in_app,0
M00094,2025-11-10,in_app,0
M00094,2026-04-10,email,0
M00094,2026-04-20,email,0
M00094,2025-11-23,in_app,0
M00094,2026-06-06,email,0
M00094,2026-01-18,push,0
M00094,2025-08-09,email,1
M00095,2025-12-19,push,0
M00095,2026-07-07,in_app,0
M00095,2026-05-31,email,0
M00095,2025-11-15,push,0
M00095,2025-07-24,push,0
M00095,2025-07-26,in_app,0
M00095,2026-01-06,push,1
M00095,2025-08-06,push,0
M00095,2026-01-10,in_app,1
M00095,2025-09-16,push,1
M00095,2026-03-31,push,0
M00096,2025-10-08,push,0
M00096,2025-09-13,in_app,1
M00096,2026-04-20,email,1
M00096,2025-11-24,email,0
M00096,2025-12-04,push,1
M00096,2026-01-05,push,0
M00096,2025-08-31,in_app,0
M00096,2025-10-17,email,0
M00096,2025-12-22,push,1
M00096,2026-03-22,push,0
M00096,2025-12-21,in_app,1
M00097,2026-05-22,in_app,0
M00097,2026-04-14,in_app,0
M00097,2025-09-09,push,0
M00097,2026-01-10,push,1
M00097,2025-08-27,in_app,0
M00097,2026-01-16,email,0
M00097,2026-04-22,push,0
M00097,2026-03-15,push,1
M00097,2026-01-06,email,0
M00097,2026-03-21,push,0
M00097,2026-03-25,push,0
M00097,2025-11-18,email,0
M00098,2025-09-06,in_app,1
M00098,2026-03-09,push,0
M00098,2026-03-25,in_app,1
M00098,2025-12-14,push,0
M00098,2026-04-07,push,1
M00098,2025-12-20,email,1
M00098,2025-10-10,in_app,0
M00098,2025-09-24,email,0
M00099,2026-01-20,in_app,1
M00099,2026-01-18,push,0
M00099,2025-11-14,email,0
M00099,2026-05-27,in_app,1
M00099,2026-04-11,in_app,1
M00099,2026-04-11,push,0
M00099,2026-03-26,push,1
M00100,2026-04-07,in_app,1
M00100,2026-03-27,push,0
M00100,2025-09-26,push,1
M00100,2026-02-15,push,0
M00100,2025-12-15,push,0
M00101,2025-11-20,push,0
M00101,2025-09-27,in_app,0
M00101,2026-03-24,email,0
M00101,2026-06-26,in_app,1
M00101,2025-08-17,push,0
M00101,2025-10-17,email,0
M00101,2026-01-05,in_app,0
M00102,2026-05-15,push,1
M00102,2025-11-25,in_app,0
M00103,2025-07-25,push,0
M00103,2026-06-03,email,1
M00103,2025-10-22,push,1
M00103,2026-06-13,email,0
M00103,2025-09-22,push,0
M00103,2025-12-20,email,0
M00103,2026-01-10,in_app,1
M00103,2026-03-20,push,1
M00103,2025-12-25,email,1
M00103,2026-03-19,in_app,0
M00103,2025-08-31,in_app,1
M00103,2026-07-14,in_app,1
M00104,2025-09-03,in_app,1
M00104,2026-04-13,push,1
M00104,2025-12-01,in_app,0
M00104,2026-04-28,in_app,1
M00104,2026-06-12,in_app,1
M00104,2025-10-05,in_app,0
M00104,2025-12-27,email,1
M00104,2025-08-16,push,0
M00104,2026-04-16,in_app,0
M00104,2026-01-03,push,0
M00104,2026-03-28,push,1
M00105,2026-02-03,in_app,1
M00105,2025-11-11,in_app,0
M00105,2026-06-22,in_app,1
M00105,2026-05-13,push,0
M00105,2026-04-11,email,1
M00106,2025-10-17,email,0
M00106,2026-07-14,email,1
M00106,2026-07-03,push,0
