member_id,card_tier,tenure_days,signup_date,engagement_propensity
M00195,Platinum,629,2024-11-01,0.3383622151866185
M00196,Platinum,2180,2020-08-03,0.24935500397934537
M00197,Gold,63,2026-05-21,0.7793812508166503
M00198,Centurion,479,2025-03-31,0.1831255703110454
M00199,Platinum,1333,2022-11-28,0.06427988052334835
M00200,Centurion,299,2025-09-27,0.5768889058897106
M00201,Centurion,1117,2023-07-02,0.3552388995997746
M00202,Platinum,797,2024-05-17,0.5807168586905391
M00203,Gold,1438,2022-08-15,0.496254451033005
M00204,Gold,952,2023-12-14,0.3533748873259656
M00205,Gold,4,2026-07-19,0.42808908200779217
M00206,Gold,210,2025-12-25,0.2256042842758837
M00207,Gold,1001,2023-10-26,0.43782413114514146
M00208,Gold,1882,2021-05-28,0.4092846966181957
M00209,Centurion,250,2025-11-15,0.43794331993918195
M00210,Gold,678,2024-09-13,0.21670788887289053
M00211,Platinum,15,2026-07-08,0.14936069293261195
M00212,Gold,413,2025-06-05,0.5856138760604537
M00213,Gold,828,2024-04-16,0.319376050708846
M00214,Centurion,223,2025-12-12,0.30941851857975866
M00215,Centurion,380,2025-07-08,0.25601871675033405
M00216,Platinum,1571,2022-04-04,0.3457476819376219
M00217,Platinum,321,2025-09-05,0.2403710093964105
M00218,Gold,1420,2022-09-02,0.4063079266873821
M00219,Gold,688,2024-09-03,0.32585166275463107
M00220,Centurion,87,2026-04-27,0.5771506304076752
M00221,Platinum,473,2025-04-06,0.5191577900424403
M00222,Gold,260,2025-11-05,0.3369414541768407
M00223,Platinum,457,2025-04-22,0.07723669711089302
M00224,Gold,1059,2023-08-29,0.4707812982582341
M00225,Platinum,3022,2018-04-14,0.5833486749966755
M00226,Gold,574,2024-12-26,0.22053469664727032
M00227,Platinum,57,2026-05-27,0.2331795368985895
M00228,Gold,1128,2023-06-21,0.35590055608816235
M00229,Centurion,858,2024-03-17,0.5001790295937533
M00230,Gold,876,2024-02-28,0.17387714114974048
M00231,Gold,1576,2022-03-30,0.5719257249766343
M00232,Platinum,523,2025-02-15,0.2903797819183135
M00233,Platinum,121,2026-03-24,0.27326464045187676
M00234,Gold,140,2026-03-05,0.3435031441474919
M00235,Gold,889,2024-02-15,0.37441378308364837
M00236,Platinum,52,2026-06-01,0.5849585715212187
M00237,Gold,387,2025-07-01,0.11615832479969934
M00238,Platinum,904,2024-01-31,0.812182484259144
M00239,Platinum,1704,2021-11-22,0.14925803341661947
M00240,Gold,98,2026-04-16,0.5627556290490652
M00241,Platinum,198,2026-01-06,0.24166279812562383
M00242,Gold,629,2024-11-01,0.009189117884329892
M00243,Centurion,748,2024-07-05,0.441020236177205
M00244,Gold,423,2025-05-26,0.8117149551009085
M00245,Platinum,394,2025-06-24,0.25331618143546664
M00246,Gold,128,2026-03-17,0.4126362699385629
M00247,Gold,1301,2022-12-30,0.4453112189950715
M00248,Platinum,83,2026-05-01,0.4206755836063657
M00249,Gold,28,2026-06-25,0.1862719971867775
M00250,Gold,495,2025-03-15,0.3503899214521536
M00251,Platinum,424,2025-05-25,0.23081620042474627
M00252,Gold,21,2026-07-02,0.514454770741643
M00253,Gold,2452,2019-11-05,0.5987388295661991
M00254,Centurion,136,2026-03-09,0.6799942491061405
M00255,Centurion,1422,2022-08-31,0.5424723359094764
M00256,Gold,752,2024-07-01,0.6997697872476625
M00257,Gold,4000,2015-08-10,0.4479209976984324
M00258,Gold,1067,2023-08-21,0.3652377065406486
M00259,Centurion,277,2025-10-19,0.3654698637662676
M00260,Platinum,400,2025-06-18,0.489074184309423
M00261,Platinum,274,2025-10-22,0.09609077739608964
M00262,Gold,416,2025-06-02,0.427780870179949
M00263,Gold,647,2024-10-14,0.3724398330403014
M00264,Platinum,1393,2022-09-29,0.7680231840203792
M00265,Platinum,334,2025-08-23,0.2584195301779963
M00266,Platinum,1013,2023-10-14,0.760331832791324
M00267,Centurion,43,2026-06-10,0.5794843484121676
M00268,Platinum,207,2025-12-28,0.22476409952355428
M00269,Gold,261,2025-11-04,0.4221286579132843
M00270,Platinum,90,2026-04-24,0.699240461327238
M00271,Gold,864,2024-03-11,0.7519322887828986
M00272,Platinum,462,2025-04-17,0.5573574221358621
M00273,Centurion,2116,2020-10-06,0.38916002626111573
M00274,Gold,166,2026-02-07,0.2552081581109309
M00275,Gold,305,2025-09-21,0.44105069202446273
M00276,Gold,385,2025-07-03,0.5026164897401101
M00277,Platinum,618,2024-11-12,0.18070092557079828
M00278,Gold,70,2026-05-14,0.30262651919316835
M00279,Platinum,184,2026-01-20,0.6535645134990887
M00280,Platinum,102,2026-04-12,0.891075690291813
M00281,Gold,825,2024-04-19,0.2850145810425212
M00282,Platinum,62,2026-05-22,0.26844794418436757
M00283,Gold,512,2025-02-26,0.701034874998736
M00284,Gold,532,2025-02-06,0.12456510972763428
M00285,Centurion,438,2025-05-11,0.6053463793683108
M00286,Platinum,819,2024-04-25,0.5519384714215699
M00287,Gold,987,2023-11-09,0.26677698005368733
M00288,Gold,187,2026-01-17,0.4809689625688467
M00289,Gold,515,2025-02-23,0.49128546314953475
M00290,Gold,1224,2023-03-17,0.5050525890038772
M00291,Platinum,64,2026-05-20,0.5389374215300939
M00292,Platinum,414,2025-06-04,0.3605203580764617
M00293,Gold,3393,2017-04-08,0.37858046536202794
M00294,Platinum,1472,2022-07-12,0.29381266847404475
M00295,Platinum,59,2026-05-25,0.41339399604276594
M00296,Gold,2599,2019-06-11,0.24588270482049213
M00297,Gold,1792,2021-08-26,0.2553745189550351
M00298,Gold,488,2025-03-22,0.5424929806949895
M00299,Platinum,18,2026-07-05,0.19900863690376375
M00300,Centurion,396,2025-06-22,0.9299667290505761
M00301,Gold,716,2024-08-06,0.2560225866561957
M00302,Platinum,44,2026-06-09,0.6910970154229352
M00303,Platinum,41,2026-06-12,0.4706290774277626
M00304,Gold,45,2026-06-08,0.601838363582778
M00305,Gold,524,2025-02-14,0.7587875713868026
M00306,Gold,374,2025-07-14,0.24153929880605665
M00307,Platinum,376,2025-07-12,0.6043479320499681
M00308,Platinum,169,2026-02-04,0.6223424806724167
M00309,Platinum,424,2025-05-25,0.3828904152261323
M00310,Platinum,274,2025-10-22,0.6474155712375049
M00311,Gold,430,2025-05-19,0.40237616526247866
M00312,Gold,402,2025-06-16,0.5739778065356723
M00313,Gold,753,2024-06-30,0.36895766381202644
M00314,Platinum,511,2025-02-27,0.6206766195551108
M00315,Platinum,29,2026-06-24,0.7039324064569232
M00316,Gold,8,2026-07-15,0.5514261818354198
M00317,Platinum,301,2025-09-25,0.753771677637094
M00318,Gold,72,2026-05-12,0.6084519170218379
M00319,Centurion,60,2026-05-24,0.3986087657447141
M00320,Platinum,336,2025-08-21,0.21590802231876713
M00321,Centurion,722,2024-07-31,0.29590484885202945
M00322,Platinum,644,2024-10-17,0.43761925068389845
M00323,Platinum,95,2026-04-19,0.6631338321151272
M00324,Gold,664,2024-09-27,0.34070494612036184
M00325,Platinum,726,2024-07-27,0.625286933616887
M00326,Gold,1758,2021-09-29,0.6597550349143197
M00327,Centurion,912,2024-01-23,0.3451924871993497
M00328,Platinum,2924,2018-07-21,0.37967126030145487
M00329,Platinum,168,2026-02-05,0.5864392724515632
M00330,Platinum,624,2024-11-06,0.07311241468607838
M00331,Gold,1446,2022-08-07,0.5015132767325655
M00332,Platinum,6,2026-07-17,0.6771262930806287
M00333,Gold,359,2025-07-29,0.2145787749967696
M00334,Platinum,669,2024-09-22,0.46835001335308374
M00335,Platinum,3,2026-07-20,0.1791294090649556
M00336,Gold,277,2025-10-19,0.4269215350753655
M00337,Platinum,321,2025-09-05,0.70919528414569
M00338,Gold,347,2025-08-10,0.7522531614177457
M00339,Gold,307,2025-09-19,0.10050565723595192
M00340,Platinum,607,2024-11-23,0.4329053161269144
M00341,Gold,1144,2023-06-05,0.6076548508806646
M00342,Gold,42,2026-06-11,0.6717441875283333
M00343,Gold,509,2025-03-01,0.1983318941019359
M00344,Gold,64,2026-05-20,0.4418850757433051
M00345,Platinum,707,2024-08-15,0.5221005777389043
M00346,Centurion,338,2025-08-19,0.3923425335119302
M00347,Gold,285,2025-10-11,0.42641961421725066
M00348,Platinum,1977,2021-02-22,0.053466178438572834
M00349,Gold,144,2026-03-01,0.5482666279874832
M00350,Centurion,58,2026-05-26,0.3085187918554033
M00351,Gold,974,2023-11-22,0.19654516934401092
M00352,Centurion,198,2026-01-06,0.4831128371510062
M00353,Gold,418,2025-05-31,0.21867675572577075
M00354,Centurion,45,2026-06-08,0.2360168370844354
M00355,Gold,298,2025-09-28,0.17554768378091368
M00356,Centurion,37,2026-06-16,0.35598836548909585
M00357,Gold,207,2025-12-28,0.18886761689800016
M00358,Gold,2503,2019-09-15,0.22748733924458148
M00359,Gold,178,2026-01-26,0.3004626142681205
M00360,Platinum,85,2026-04-29,0.6214834762172861
M00361,Gold,548,2025-01-21,0.5954833974830103
M00362,Platinum,2039,2020-12-22,0.13348257534755997
M00363,Gold,551,2025-01-18,0.5071720566044665
M00364,Gold,37,2026-06-16,0.2060086259387623
M00365,Platinum,280,2025-10-16,0.22518842290403257
M00366,Gold,1481,2022-07-03,0.257123768699385
M00367,Platinum,1034,2023-09-23,0.548410081554343
M00368,Gold,78,2026-05-06,0.48700781973869217
M00369,Centurion,2336,2020-02-29,0.6590679638622714
M00370,Gold,603,2024-11-27,0.5051980452888978
M00371,Platinum,533,2025-02-05,0.6112936501941926
M00372,Platinum,1362,2022-10-30,0.27579596439072823
M00373,Platinum,157,2026-02-16,0.17245607625217543
M00374,Gold,61,2026-05-23,0.38475612197789555
M00375,Gold,378,2025-07-10,0.15665354878654675
M00376,Platinum,123,2026-03-22,0.4312656333660767
M00377,Gold,1546,2022-04-29,0.4753624645266452
M00378,Gold,1196,2023-04-14,0.6158001679041322
M00379,Platinum,1206,2023-04-04,0.07915480159579434
M00380,Platinum,285,2025-10-11,0.6200413849115988
M00381,Gold,191,2026-01-13,0.45906590323395147
M00382,Gold,737,2024-07-16,0.06649453801888844
M00383,Gold,2707,2019-02-23,0.18855167320266594
M00384,Gold,811,2024-05-03,0.24902396033937518
M00385,Gold,720,2024-08-02,0.20196812230265124
M00386,Gold,23,2026-06-30,0.7641864152690938
M00387,Gold,1016,2023-10-11,0.34813463004715883
M00388,Centurion,777,2024-06-06,0.19440896514655226
M00389,Platinum,1399,2022-09-23,0.6155631845472761
M00390,Centurion,1751,2021-10-06,0.4349078058069754
M00391,Platinum,981,2023-11-15,0.6675422849474838
M00392,Gold,231,2025-12-04,0.5176154821754725
M00393,Gold,71,2026-05-13,0.2678991936726254
M00394,Gold,638,2024-10-23,0.21463977895245376
M00395,Gold,1632,2022-02-02,0.14690282808271277
M00396,Gold,143,2026-03-02,0.5519180480297796
M00397,Platinum,611,2024-11-19,0.2567120552570175
M00398,Platinum,1246,2023-02-23,0.5396533273945385
M00399,Gold,1478,2022-07-06,0.9166435709654156
M00400,Gold,399,2025-06-19,0.38113282372948365
M00401,Gold,653,2024-10-08,0.23809081019519537
M00402,Gold,502,2025-03-08,0.5541173046931988
M00403,Centurion,2104,2020-10-18,0.03222034359268258
M00404,Platinum,51,2026-06-02,0.7111737820278102
M00405,Gold,105,2026-04-09,0.12056436065084797
M00406,Gold,230,2025-12-05,0.3996603353316487
M00407,Gold,173,2026-01-31,0.43312867658670606
M00408,Platinum,594,2024-12-06,0.20744484573097655
M00409,Gold,63,2026-05-21,0.39863869632270205
M00410,Platinum,1451,2022-08-02,0.28795881486816577
M00411,Platinum,383,2025-07-05,0.2344896710238602
M00412,Platinum,259,2025-11-06,0.4533388039454939
M00413,Gold,85,2026-04-29,0.6784873051162581
M00414,Gold,380,2025-07-08,0.2003042801899933
M00415,Gold,794,2024-05-20,0.3676518162641759
M00416,Gold,1711,2021-11-15,0.33616532245662983
M00417,Gold,1629,2022-02-05,0.6865730829020161
M00418,Platinum,383,2025-07-05,0.15506998668059271
M00419,Gold,91,2026-04-23,0.17344835454882263
M00420,Gold,1307,2022-12-24,0.10099816731639119
M00421,Platinum,256,2025-11-09,0.13448651016227023
M00422,Gold,1364,2022-10-28,0.6731326280686688
M00423,Platinum,324,2025-09-02,0.1630931923133063
M00424,Gold,127,2026-03-18,0.7218626536252304
M00425,Gold,726,2024-07-27,0.3875700878126267
M00426,Platinum,260,2025-11-05,0.6401513175982173
M00427,Gold,3098,2018-01-28,0.7158920826406764
M00428,Platinum,19,2026-07-04,0.47624417670828484
M00429,Platinum,22,2026-07-01,0.4985425171343738
M00430,Gold,1612,2022-02-22,0.6512231725727327
M00431,Gold,646,2024-10-15,0.44244602944040484
M00432,Gold,291,2025-10-05,0.4373250226594707
M00433,Centurion,1004,2023-10-23,0.4537401496812135
M00434,Gold,151,2026-02-22,0.4925723853020627
M00435,Gold,571,2024-12-29,0.380630551901163
M00436,Gold,688,2024-09-03,0.38608735994647586
M00437,Platinum,678,2024-09-13,0.6120405615089072
M00438,Gold,548,2025-01-21,0.3292076582265891
M00439,Platinum,98,2026-04-16,0.6220484028297821
M00440,Platinum,1467,2022-07-17,0.338258858139009
M00441,Centurion,462,2025-04-17,0.4491713146889242
M00442,Platinum,159,2026-02-14,0.5578268630015599
M00443,Centurion,602,2024-11-28,0.33563945875506324
M00444,Platinum,596,2024-12-04,0.6099992025487009
M00445,Platinum,1504,2022-06-10,0.49231109437976384
M00446,Platinum,897,2024-02-07,0.3716937859985685
M00447,Gold,1142,2023-06-07,0.1616190671993607
M00448,Platinum,10,2026-07-13,0.4021114558118767
M00449,Gold,980,2023-11-16,0.35134048388888645
M00450,Platinum,665,2024-09-26,0.641890479802057
M00451,Platinum,365,2025-07-23,0.5101612199412824
M00452,Gold,2065,2020-11-26,0.3236605789045168
M00453,Gold,55,2026-05-29,0.39869621873118793
M00454,Gold,52,2026-06-01,0.7034494208092629
M00455,Platinum,1138,2023-06-11,0.1682754051269378
M00456,Platinum,452,2025-04-27,0.33805884216554094
M00457,Gold,310,2025-09-16,0.36293289497631454
M00458,Platinum,52,2026-06-01,0.12758398959803402
M00459,Gold,1140,2023-06-09,0.2526474906235343
M00460,Gold,221,2025-12-14,0.08498167180155052
M00461,Gold,39,2026-06-14,0.1413301182555615
M00462,Gold,33,2026-06-20,0.7112785131638774
M00463,Gold,2,2026-07-21,0.6668093106749643
M00464,Gold,312,2025-09-14,0.5895492029498777
M00465,Gold,1557,2022-04-18,0.5525892901684796
M00466,Gold,65,2026-05-19,0.1764947118205286
M00467,Platinum,851,2024-03-24,0.3828799850627536
M00468,Platinum,2107,2020-10-15,0.11802363123103934
M00469,Gold,723,2024-07-30,0.4278015138374119
M00470,Gold,396,2025-06-22,0.149889667558238
M00471,Gold,37,2026-06-16,0.16488006137937683
M00472,Gold,166,2026-02-07,0.13662808615667466
M00473,Gold,792,2024-05-22,0.0778758911052373
M00474,Gold,939,2023-12-27,0.7769398528487447
M00475,Centurion,155,2026-02-18,0.25268422408000935
M00476,Platinum,82,2026-05-02,0.08810917817801091
M00477,Platinum,333,2025-08-24,0.5070180973246455
M00478,Platinum,529,2025-02-09,0.36825131010757056
M00479,Platinum,512,2025-02-26,0.10193779601233147
M00480,Gold,515,2025-02-23,0.31529442056454693
M00481,Gold,243,2025-11-22,0.22857857142028304
M00482,Gold,0,2026-07-23,0.765015963677092
M00483,Platinum,16,2026-07-07,0.38120389719526254
M00484,Platinum,355,2025-08-02,0.33595515749586047
M00485,Centurion,463,2025-04-16,0.18459721807804355
M00486,Gold,2001,2021-01-29,0.47206573027083404
M00487,Platinum,178,2026-01-26,0.3601917834081415
M00488,Gold,604,2024-11-26,0.5018888897275928
M00489,Platinum,784,2024-05-30,0.4292832625033509
M00490,Gold,444,2025-05-05,0.3584479479687281
M00491,Gold,5,2026-07-18,0.4986444453447546
M00492,Gold,796,2024-05-18,0.3087916331316859
M00493,Gold,553,2025-01-16,0.5097726253558642
M00494,Gold,1298,2023-01-02,0.27960066050649873
M00495,Platinum,2264,2020-05-11,0.7288963830882067
M00496,Gold,630,2024-10-31,0.4427899582504766
M00497,Gold,1101,2023-07-18,0.33443275463012906
M00498,Gold,123,2026-03-22,0.5498936812378695
M00499,Gold,768,2024-06-15,0.3360776718766194
M00500,Platinum,8,2026-07-15,0.3628201429261157
M00501,Gold,704,2024-08-18,0.24379378455208234
M00502,Gold,70,2026-05-14,0.3035909870250659
M00503,Platinum,88,2026-04-26,0.21466502424123057
M00504,Gold,32,2026-06-21,0.5862197766933638
M00505,Platinum,1754,2021-10-03,0.04724261529572767
M00506,Gold,581,2024-12-19,0.7896910718822614
M00507,Gold,1752,2021-10-05,0.5475397960356797
M00508,Gold,25,2026-06-28,0.4525347282359387
M00509,Gold,609,2024-11-21,0.8722330928370066
M00510,Gold,232,2025-12-03,0.5654754339018315
M00511,Gold,380,2025-07-08,0.20148702468684437
M00512,Platinum,626,2024-11-04,0.44399534323009915
M00513,Gold,51,2026-06-02,0.27001242975584167
M00514,Platinum,744,2024-07-09,0.18131661601861518
M00515,Platinum,387,2025-07-01,0.5113765185344111
M00516,Gold,377,2025-07-11,0.4041525683613889
M00517,Gold,183,2026-01-21,0.1443099092275671
M00518,Gold,1320,2022-12-11,0.3116729718823438
M00519,Gold,1187,2023-04-23,0.11654202864959641
M00520,Centurion,2933,2018-07-12,0.18940875607450397
M00521,Gold,57,2026-05-27,0.1578348841667441
M00522,Platinum,613,2024-11-17,0.747520693315538
M00523,Platinum,996,2023-10-31,0.2816321073067453
