member_id,benefit_id,claimed_date,value_claimed
M00083,extended_warranty,2026-06-10,48.92
M00083,lounge_access,2026-03-04,50.55
M00085,purchase_protection,2025-11-16,154.52
M00086,purchase_protection,2026-06-18,169.82
M00086,travel_delay,2026-01-27,678.49
M00087,purchase_protection,2026-06-19,205.55
M00087,extended_warranty,2026-05-27,98.94
M00089,extended_warranty,2026-06-04,89.83
M00090,purchase_protection,2026-04-10,203.36
M00090,extended_warranty,2026-03-14,66.93
M00091,lounge_access,2026-07-15,48.14
M00092,hotel_credit,2026-05-02,191.56
M00093,extended_warranty,2025-09-17,252.89
M00093,dining_credit,2025-09-23,15.17
M00094,purchase_protection,2026-03-04,118.66
M00094,extended_warranty,2026-06-17,186.33
M00095,extended_warranty,2025-08-05,241.04
M00096,lounge_access,2025-12-06,81.49
M00098,travel_delay,2026-04-30,253.78
M00099,purchase_protection,2025-11-30,224.84
M00099,extended_warranty,2026-07-16,124.16
M00101,hotel_credit,2026-03-09,117.12
M00103,extended_warranty,2026-01-25,212.84
M00103,dining_credit,2026-01-10,34.68
M00104,purchase_protection,2025-08-29,167.38
M00104,extended_warranty,2026-07-22,259.48
M00104,dining_credit,2026-05-05,22.57
M00105,travel_delay,2025-10-28,371.48
M00105,hotel_credit,2025-12-28,119.05
M00107,purchase_protection,2025-10-04,61.54
M00107,extended_warranty,2025-12-02,51.17
M00107,dining_credit,2026-03-16,16.53
M00108,purchase_protection,2025-12-18,246.27
M00108,dining_credit,2025-11-24,47.27
M00109,extended_warranty,2026-07-11,264.57
M00109,return_protection,2025-10-13,102.32
M00110,purchase_protection,2025-12-05,179.06
M00110,extended_warranty,2026-03-16,302.85
M00110,travel_delay,2025-09-04,245.94
M00110,hotel_credit,2025-10-01,166.76
M00111,extended_warranty,2025-08-13,179.53
M00111,dining_credit,2026-03-21,98.23
M00112,purchase_protection,2025-09-12,72.08
M00112,extended_warranty,2026-02-01,132.96
M00113,purchase_protection,2026-06-12,153.04
M00114,lounge_access,2026-01-28,56.16
M00114,hotel_credit,2026-01-01,106.94
M00114,return_protection,2026-02-06,123.78
M00115,extended_warranty,2026-04-09,191.55
M00117,extended_warranty,2026-02-01,122.9
M00117,hotel_credit,2025-10-04,105.24
M00118,purchase_protection,2025-08-05,122.17
M00118,hotel_credit,2026-03-24,164.07
M00122,purchase_protection,2026-05-24,218.31
M00122,travel_delay,2026-07-02,428.05
M00123,dining_credit,2025-08-15,12.15
M00125,purchase_protection,2025-10-02,245.27
M00125,dining_credit,2026-07-09,78.99
M00126,extended_warranty,2026-06-20,225.08
M00126,dining_credit,2026-05-17,45.85
M00127,hotel_credit,2025-07-24,243.56
M00128,purchase_protection,2025-08-10,231.01
M00128,extended_warranty,2025-09-02,176.56
M00128,lounge_access,2025-10-19,69.96
M00128,hotel_credit,2025-12-13,99.03
M00130,purchase_protection,2026-05-29,107.86
M00130,extended_warranty,2026-01-10,213.92
M00130,dining_credit,2026-02-25,19.15
M00132,purchase_protection,2026-02-05,230.69
M00132,extended_warranty,2026-01-09,74.63
M00132,travel_delay,2026-05-25,469.43
M00133,lounge_access,2025-09-22,77.72
M00133,return_protection,2025-12-18,106.76
M00134,extended_warranty,2026-01-20,147.01
M00134,dining_credit,2026-02-22,50.05
M00135,extended_warranty,2026-03-05,64.79
M00137,travel_delay,2025-12-16,173.34
M00138,travel_delay,2025-12-01,308.56
M00138,lounge_access,2026-03-29,55.25
M00138,hotel_credit,2025-12-11,140.17
M00139,dining_credit,2026-03-14,39.92
M00141,purchase_protection,2025-12-29,178.87
M00141,extended_warranty,2025-10-06,118.98
M00141,dining_credit,2026-01-05,40.06
M00142,extended_warranty,2026-05-08,278.4
M00142,dining_credit,2025-09-02,61.21
M00143,purchase_protection,2025-08-14,125.45
M00143,extended_warranty,2026-03-08,98.14
M00145,purchase_protection,2026-03-13,220.51
M00149,extended_warranty,2025-12-09,195.0
M00150,purchase_protection,2026-02-07,289.42
M00150,extended_warranty,2026-05-19,460.69
M00151,travel_delay,2026-04-06,386.77
M00151,hotel_credit,2025-11-01,193.16
M00152,purchase_protection,2026-03-14,207.86
M00154,purchase_protection,2025-11-18,189.15
M00154,extended_warranty,2026-02-14,63.74
M00154,dining_credit,2026-03-01,14.5
M00155,extended_warranty,2026-01-02,140.52
M00156,purchase_protection,2025-11-20,119.95
M00157,purchase_protection,2025-10-15,287.0
M00158,purchase_protection,2026-03-09,189.42
M00158,extended_warranty,2026-05-11,286.29
M00159,extended_warranty,2025-11-26,209.85
M00159,dining_credit,2025-08-31,86.41
M00160,dining_credit,2025-08-09,51.65
M00161,lounge_access,2026-02-01,61.51
M00162,extended_warranty,2026-06-29,48.19
M00163,extended_warranty,2026-03-13,272.75
M00163,travel_delay,2025-08-14,484.83
M00163,return_protection,2026-07-14,58.54
M00165,dining_credit,2025-10-07,77.46
M00166,extended_warranty,2025-12-25,265.79
M00167,extended_warranty,2026-06-20,94.76
M00168,purchase_protection,2026-04-14,204.42
M00169,purchase_protection,2025-09-09,157.63
M00169,extended_warranty,2025-10-20,272.68
M00169,dining_credit,2026-02-18,17.2
M00171,purchase_protection,2025-09-20,52.92
M00172,purchase_protection,2025-08-17,59.71
M00174,purchase_protection,2025-11-21,233.27
M00174,travel_delay,2026-06-09,455.39
M00175,purchase_protection,2025-09-22,133.87
M00176,extended_warranty,2026-03-05,249.83
M00176,dining_credit,2026-05-18,83.32
M00178,extended_warranty,2025-09-26,106.36
M00178,dining_credit,2026-05-11,44.34
M00180,purchase_protection,2025-12-16,66.2
M00180,extended_warranty,2026-01-20,71.82
M00180,travel_delay,2026-01-14,398.17
M00180,lounge_access,2026-04-02,38.08
M00181,extended_warranty,2026-02-13,51.18
M00181,lounge_access,2025-08-22,54.4
M00183,purchase_protection,2025-11-01,56.52
M00183,dining_credit,2025-08-09,15.07
M00185,purchase_protection,2025-09-25,181.57
M00186,purchase_protection,2025-12-23,290.74
M00186,travel_delay,2025-11-20,230.87
M00186,lounge_access,2025-12-13,73.55
M00190,extended_warranty,2026-06-26,94.1
M00190,dining_credit,2026-02-04,77.9
M00191,extended_warranty,2025-10-13,271.9
M00192,purchase_protection,2025-12-15,123.76
M00192,dining_credit,2026-03-14,11.7
M00193,return_protection,2025-10-16,53.53
M00194,purchase_protection,2026-07-18,223.51
M00195,travel_delay,2026-02-14,188.3
M00197,purchase_protection,2026-04-18,93.82
M00197,extended_warranty,2026-02-12,284.99
M00198,hotel_credit,2026-07-16,351.48
M00200,purchase_protection,2026-07-11,222.66
M00200,extended_warranty,2025-10-06,46.28
M00200,travel_delay,2026-02-15,240.84
M00201,purchase_protection,2025-12-13,373.67
M00201,travel_delay,2025-09-19,168.43
M00201,lounge_access,2025-07-31,91.59
M00201,hotel_credit,2026-06-02,170.13
M00201,return_protection,2026-04-18,68.1
M00202,lounge_access,2026-03-08,73.33
M00202,hotel_credit,2026-02-07,129.24
M00203,purchase_protection,2026-01-19,167.97
M00204,dining_credit,2026-05-21,62.89
M00207,dining_credit,2025-12-05,33.06
M00208,dining_credit,2025-08-29,14.1
M00209,purchase_protection,2025-08-24,200.34
M00209,travel_delay,2026-03-20,311.04
M00209,lounge_access,2026-04-22,99.55
M00210,purchase_protection,2026-02-04,123.65
M00210,extended_warranty,2025-11-26,190.88
M00211,purchase_protection,2025-07-25,289.93
M00212,purchase_protection,2025-11-21,100.27
M00212,extended_warranty,2026-05-31,190.31
M00214,extended_warranty,2026-03-30,141.19
M00214,travel_delay,2025-08-10,215.25
M00214,hotel_credit,2025-11-16,231.03
M00215,purchase_protection,2025-10-05,74.07
M00215,extended_warranty,2026-05-06,324.69
M00216,purchase_protection,2026-07-08,110.68
M00216,hotel_credit,2026-06-22,80.71
M00217,purchase_protection,2026-02-28,51.31
M00217,travel_delay,2026-02-03,215.76
M00217,lounge_access,2025-08-28,56.44
M00219,extended_warranty,2026-01-31,189.46
M00220,purchase_protection,2026-03-26,367.71
M00220,travel_delay,2026-02-04,83.85
M00220,return_protection,2025-09-06,152.76
M00221,lounge_access,2025-11-24,38.34
M00221,hotel_credit,2025-10-26,85.86
M00222,extended_warranty,2025-08-25,224.07
M00223,extended_warranty,2026-03-21,74.28
M00223,travel_delay,2026-03-19,396.06
M00225,lounge_access,2025-12-20,74.34
M00226,extended_warranty,2026-05-28,143.8
M00226,dining_credit,2025-07-24,60.22
M00227,purchase_protection,2025-11-15,289.71
M00227,travel_delay,2025-11-10,471.5
M00227,lounge_access,2025-11-11,51.5
M00227,hotel_credit,2026-04-28,156.59
M00228,dining_credit,2025-09-11,62.71
M00229,travel_delay,2026-05-10,557.23
M00229,lounge_access,2026-05-29,68.8
M00229,hotel_credit,2026-03-09,284.33
M00229,return_protection,2026-02-08,114.03
M00230,extended_warranty,2025-10-07,226.08
M00232,extended_warranty,2026-04-16,250.12
M00232,lounge_access,2026-02-18,42.4
M00232,hotel_credit,2025-11-02,148.27
M00233,extended_warranty,2025-09-05,242.91
M00234,dining_credit,2025-12-07,57.77
M00236,purchase_protection,2026-02-12,292.25
M00236,travel_delay,2026-03-13,486.59
M00236,lounge_access,2025-07-30,72.38
M00236,hotel_credit,2025-08-25,184.23
M00237,extended_warranty,2025-10-26,192.35
M00238,extended_warranty,2026-07-10,334.04
M00238,travel_delay,2025-11-08,97.07
M00238,lounge_access,2026-01-02,55.97
M00238,hotel_credit,2025-10-26,65.14
M00239,purchase_protection,2025-12-25,158.34
M00239,hotel_credit,2025-09-23,93.94
M00240,purchase_protection,2026-07-02,131.83
M00242,extended_warranty,2026-02-24,179.1
M00243,purchase_protection,2025-12-13,380.93
M00243,hotel_credit,2026-01-11,383.92
M00243,return_protection,2025-12-05,38.47
M00244,extended_warranty,2025-10-08,42.04
M00244,dining_credit,2026-06-01,25.29
M00245,travel_delay,2026-04-03,114.82
M00245,lounge_access,2026-03-18,38.37
M00246,extended_warranty,2026-05-02,217.48
M00248,extended_warranty,2025-08-30,217.09
M00248,travel_delay,2025-12-09,230.72
M00248,lounge_access,2025-10-19,48.76
M00248,hotel_credit,2026-02-09,148.19
M00251,purchase_protection,2026-01-01,266.91
M00252,purchase_protection,2026-01-30,51.5
M00252,dining_credit,2025-08-02,99.59
M00253,purchase_protection,2026-02-13,130.08
M00253,dining_credit,2026-04-06,47.81
M00254,travel_delay,2025-10-12,240.13
M00254,lounge_access,2025-12-03,90.84
M00255,hotel_credit,2026-01-29,342.01
M00256,extended_warranty,2025-11-04,186.6
M00256,dining_credit,2025-10-10,99.75
M00258,dining_credit,2026-06-04,63.1
M00259,return_protection,2026-05-15,138.26
M00260,hotel_credit,2026-07-05,59.69
M00261,travel_delay,2026-01-20,408.64
M00262,dining_credit,2025-08-22,28.12
M00263,dining_credit,2025-09-23,87.96
M00264,extended_warranty,2026-03-20,203.12
M00264,hotel_credit,2026-04-13,178.54
M00265,purchase_protection,2026-02-21,128.46
M00265,lounge_access,2026-04-30,54.72
M00266,extended_warranty,2026-06-04,116.37
M00266,lounge_access,2026-03-18,65.7
M00266,hotel_credit,2026-05-31,109.05
M00267,travel_delay,2026-06-12,394.16
M00267,hotel_credit,2026-03-29,177.11
M00268,extended_warranty,2026-02-27,61.96
M00268,lounge_access,2026-07-07,41.61
M00269,extended_warranty,2025-12-07,214.52
M00270,travel_delay,2025-11-17,427.96
M00270,hotel_credit,2025-09-26,186.37
M00271,purchase_protection,2026-06-25,67.49
M00271,extended_warranty,2025-08-04,74.28
M00271,dining_credit,2025-10-11,56.79
M00272,extended_warranty,2026-02-08,168.13
M00273,purchase_protection,2025-08-23,406.04
M00273,travel_delay,2025-12-24,505.56
M00273,hotel_credit,2026-06-12,120.17
M00275,dining_credit,2025-10-11,26.43
M00276,extended_warranty,2026-03-04,72.66
M00276,dining_credit,2025-09-01,71.44
M00278,extended_warranty,2026-06-20,103.77
M00279,purchase_protection,2025-11-17,151.63
M00279,extended_warranty,2026-01-30,232.28
M00279,hotel_credit,2026-04-05,67.19
M00280,hotel_credit,2025-12-08,64.37
M00281,purchase_protection,2026-06-10,163.87
M00281,dining_credit,2026-02-17,95.98
M00282,lounge_access,2025-09-16,72.21
M00283,purchase_protection,2025-09-12,238.65
M00283,dining_credit,2026-02-20,74.26
M00285,purchase_protection,2026-04-26,31.23
M00285,hotel_credit,2026-06-19,298.66
M00285,return_protection,2025-08-31,60.35
M00286,extended_warranty,2026-05-30,43.45
M00286,hotel_credit,2025-12-17,100.92
M00288,extended_warranty,2026-02-21,145.81
M00288,dining_credit,2025-09-25,46.43
M00289,extended_warranty,2026-04-19,216.46
M00289,dining_credit,2026-05-29,16.09
M00290,purchase_protection,2026-01-11,70.42
M00291,purchase_protection,2026-04-19,290.05
M00291,extended_warranty,2025-08-09,163.68
M00292,travel_delay,2026-03-23,207.01
M00293,dining_credit,2026-02-07,57.04
M00294,extended_warranty,2025-10-11,199.48
M00295,extended_warranty,2026-04-16,189.83
M00295,travel_delay,2026-05-08,474.05
M00295,lounge_access,2026-04-09,42.67
M00295,hotel_credit,2026-05-05,181.87
M00298,purchase_protection,2025-10-29,93.18
M00298,dining_credit,2026-06-03,56.47
M00300,travel_delay,2025-11-03,76.34
M00300,lounge_access,2025-08-25,83.28
M00300,hotel_credit,2026-05-01,112.46
M00300,return_protection,2025-12-19,151.41
M00301,purchase_protection,2026-01-06,39.05
M00301,extended_warranty,2025-09-01,269.09
M00301,dining_credit,2026-03-07,73.45
M00302,extended_warranty,2026-02-28,190.24
M00303,extended_warranty,2025-08-03,258.87
M00304,extended_warranty,2026-01-14,148.42
M00305,purchase_protection,2026-02-08,57.4
M00306,dining_credit,2026-05-01,12.07
M00307,travel_delay,2025-09-17,306.14
M00307,lounge_access,2026-01-28,70.05
M00307,hotel_credit,2025-08-21,103.41
M00308,purchase_protection,2026-04-15,238.3
M00308,extended_warranty,2026-04-21,141.02
M00308,travel_delay,2025-10-16,192.69
M00308,hotel_credit,2025-08-04,188.35
M00309,purchase_protection,2025-12-17,115.63
M00309,extended_warranty,2026-01-12,53.9
M00309,lounge_access,2026-06-27,50.46
M00309,hotel_credit,2026-01-09,97.51
M00310,purchase_protection,2025-11-20,203.94
M00310,extended_warranty,2026-04-07,322.41
M00310,lounge_access,2026-07-14,59.3
M00310,hotel_credit,2025-11-13,153.7
M00312,purchase_protection,2026-05-04,99.55
M00314,extended_warranty,2026-06-30,263.05
M00314,lounge_access,2026-04-02,43.62
M00314,hotel_credit,2026-03-15,168.91
M00315,purchase_protection,2026-06-10,200.75
M00315,extended_warranty,2026-01-27,96.38
M00315,travel_delay,2025-09-29,195.16
M00315,hotel_credit,2025-12-16,123.49
M00316,purchase_protection,2025-11-09,88.7
M00316,extended_warranty,2025-08-31,111.48
M00317,extended_warranty,2025-12-16,277.74
M00317,lounge_access,2026-04-26,71.05
M00317,hotel_credit,2025-12-18,105.32
M00318,purchase_protection,2025-10-18,82.58
M00318,extended_warranty,2026-06-09,189.18
M00319,lounge_access,2026-01-31,78.32
M00320,lounge_access,2026-05-07,72.36
M00322,extended_warranty,2026-03-11,53.53
M00322,travel_delay,2026-04-08,268.12
M00322,lounge_access,2025-07-23,49.67
M00323,purchase_protection,2026-04-18,133.34
M00323,extended_warranty,2025-08-26,324.97
M00324,extended_warranty,2025-10-30,76.72
M00325,hotel_credit,2025-09-20,174.02
M00326,extended_warranty,2025-09-13,196.14
M00326,dining_credit,2025-09-17,39.27
M00328,extended_warranty,2026-03-06,134.69
M00329,hotel_credit,2026-04-14,156.12
M00330,extended_warranty,2025-12-16,269.67
M00330,travel_delay,2025-12-10,425.08
M00330,lounge_access,2026-06-09,60.37
M00330,hotel_credit,2025-09-01,86.9
M00331,purchase_protection,2025-11-17,204.41
M00331,dining_credit,2026-03-31,48.99
M00332,purchase_protection,2026-04-08,44.85
M00332,travel_delay,2026-07-09,163.76
M00332,lounge_access,2026-07-19,59.22
M00332,hotel_credit,2025-08-14,125.77
M00333,purchase_protection,2026-04-24,61.85
M00334,purchase_protection,2026-07-17,36.07
M00334,lounge_access,2026-01-29,55.15
M00335,purchase_protection,2026-02-05,234.09
M00335,lounge_access,2026-04-12,68.91
M00336,dining_credit,2026-05-15,68.07
M00337,extended_warranty,2025-12-14,256.64
M00337,lounge_access,2025-12-15,74.89
M00337,hotel_credit,2026-07-11,50.51
M00338,extended_warranty,2025-09-10,123.52
M00340,travel_delay,2026-02-11,421.75
M00341,dining_credit,2025-09-01,54.0
M00342,purchase_protection,2026-01-21,159.9
M00342,dining_credit,2026-04-23,62.25
M00343,dining_credit,2026-03-05,28.07
M00344,purchase_protection,2026-01-26,36.38
M00345,purchase_protection,2026-03-30,96.41
M00345,extended_warranty,2026-07-21,166.14
M00345,travel_delay,2025-12-10,193.22
M00345,hotel_credit,2026-03-03,129.93
M00346,purchase_protection,2025-11-13,97.22
M00346,travel_delay,2025-08-12,334.12
M00346,lounge_access,2026-07-12,94.41
M00348,purchase_protection,2025-08-01,227.23
M00349,extended_warranty,2025-07-25,120.56
M00349,dining_credit,2026-07-07,92.59
M00350,purchase_protection,2026-02-16,450.43
M00350,extended_warranty,2025-09-04,397.85
M00352,extended_warranty,2026-03-06,110.37
M00352,travel_delay,2025-09-27,220.55
M00352,hotel_credit,2025-11-25,109.31
M00354,extended_warranty,2026-04-25,565.72
M00356,travel_delay,2025-08-26,279.06
M00356,return_protection,2026-03-29,145.46
M00359,purchase_protection,2025-08-12,203.26
M00360,purchase_protection,2026-03-20,260.64
M00360,travel_delay,2026-07-10,79.21
M00360,lounge_access,2025-09-26,73.04
M00360,hotel_credit,2025-10-25,82.72
M00361,extended_warranty,2026-02-11,249.94
M00363,purchase_protection,2026-06-12,191.43
M00363,extended_warranty,2026-05-09,135.16
M00363,dining_credit,2025-11-19,41.34
M00364,extended_warranty,2025-09-05,125.45
M00365,purchase_protection,2025-10-03,252.54
M00365,hotel_credit,2026-01-10,191.04
M00366,dining_credit,2025-08-25,94.63
M00367,purchase_protection,2025-11-08,207.58
M00367,extended_warranty,2026-02-28,274.54
M00367,hotel_credit,2026-01-27,132.93
M00368,purchase_protection,2025-11-01,162.51
M00368,dining_credit,2025-11-24,77.33
M00370,purchase_protection,2026-01-17,190.31
M00370,dining_credit,2025-12-15,40.14
M00371,purchase_protection,2026-01-20,46.52
M00371,extended_warranty,2026-02-24,75.13
M00371,travel_delay,2026-06-30,447.14
M00372,hotel_credit,2025-11-08,89.54
M00373,travel_delay,2026-03-31,316.38
M00373,lounge_access,2025-08-08,39.98
M00376,purchase_protection,2026-01-10,284.39
M00376,extended_warranty,2025-12-11,317.58
M00376,travel_delay,2025-08-27,140.7
M00376,lounge_access,2026-01-18,36.24
M00376,hotel_credit,2025-11-03,124.43
M00377,purchase_protection,2025-12-29,48.2
M00377,dining_credit,2025-08-16,17.15
M00378,extended_warranty,2026-05-19,285.01
M00380,purchase_protection,2026-06-07,189.51
M00385,extended_warranty,2026-05-03,270.72
M00385,dining_credit,2026-06-10,20.17
M00386,extended_warranty,2025-09-17,243.37
M00386,dining_credit,2026-06-05,65.98
M00387,extended_warranty,2026-03-20,288.63
M00388,extended_warranty,2026-04-19,576.07
M00388,travel_delay,2025-08-22,191.77
M00388,lounge_access,2026-02-19,90.35
M00388,hotel_credit,2025-12-02,109.98
M00388,return_protection,2025-10-05,180.67
M00389,purchase_protection,2025-08-01,143.76
M00389,hotel_credit,2026-02-01,114.92
M00390,extended_warranty,2026-05-06,576.82
M00390,lounge_access,2025-11-19,58.71
M00390,hotel_credit,2026-07-05,318.58
M00390,return_protection,2025-12-14,198.84
M00391,purchase_protection,2026-06-05,70.01
M00391,hotel_credit,2026-05-18,79.13
M00393,purchase_protection,2026-02-06,80.96
M00393,extended_warranty,2025-09-28,175.05
M00396,extended_warranty,2026-02-19,80.45
M00396,dining_credit,2026-06-27,60.28
M00398,purchase_protection,2025-08-28,52.35
M00398,lounge_access,2025-08-03,63.56
M00398,hotel_credit,2026-06-16,138.04
M00399,extended_warranty,2026-01-21,134.0
M00399,dining_credit,2026-05-21,12.59
M00401,purchase_protection,2026-03-29,219.09
M00402,purchase_protection,2026-05-26,133.26
M00403,travel_delay,2026-07-03,313.92
M00404,purchase_protection,2026-05-30,270.05
M00404,travel_delay,2025-09-03,67.08
M00405,dining_credit,2026-02-19,41.26
M00406,extended_warranty,2026-02-10,284.18
M00407,extended_warranty,2026-01-07,290.71
M00408,lounge_access,2026-02-24,48.3
M00408,hotel_credit,2025-08-28,134.97
M00409,purchase_protection,2026-01-15,249.5
M00409,dining_credit,2026-04-30,38.97
M00410,purchase_protection,2025-10-06,226.3
M00410,lounge_access,2026-06-11,69.02
M00412,lounge_access,2025-10-24,43.76
M00413,purchase_protection,2026-05-24,172.33
M00414,dining_credit,2026-01-15,10.82
M00415,purchase_protection,2026-06-13,210.14
M00416,purchase_protection,2026-02-28,195.38
M00416,extended_warranty,2026-06-06,120.97
M00417,extended_warranty,2026-02-13,177.02
M00418,travel_delay,2025-08-31,303.16
M00418,lounge_access,2026-05-25,53.05
M00421,lounge_access,2025-10-31,48.04
M00421,hotel_credit,2026-03-21,162.65
M00422,dining_credit,2025-10-24,17.58
M00423,extended_warranty,2025-08-06,231.12
M00425,purchase_protection,2026-05-15,230.63
M00425,extended_warranty,2025-12-28,125.51
M00426,purchase_protection,2026-03-12,104.91
M00426,travel_delay,2025-11-08,356.9
M00426,hotel_credit,2025-12-02,176.4
M00427,purchase_protection,2026-01-10,126.15
M00427,dining_credit,2025-08-27,75.21
M00428,extended_warranty,2026-01-08,72.89
M00429,travel_delay,2026-06-04,283.23
M00429,lounge_access,2026-05-31,56.3
M00429,hotel_credit,2025-10-22,90.19
M00430,dining_credit,2026-02-02,36.22
M00431,purchase_protection,2025-10-17,238.73
M00431,dining_credit,2026-06-09,57.09
M00433,purchase_protection,2026-06-29,371.96
M00433,travel_delay,2025-12-25,636.39
M00433,return_protection,2026-03-24,60.25
M00434,extended_warranty,2026-04-24,293.85
M00434,dining_credit,2026-07-17,91.24
M00435,extended_warranty,2025-08-12,286.64
M00435,dining_credit,2025-09-23,66.83
M00436,dining_credit,2025-09-01,16.22
M00437,lounge_access,2026-01-31,43.91
M00438,purchase_protection,2026-01-20,246.38
M00438,extended_warranty,2025-09-14,269.44
M00438,dining_credit,2026-05-13,53.14
M00439,purchase_protection,2026-03-30,86.19
M00439,lounge_access,2026-01-26,59.45
M00439,hotel_credit,2025-07-30,131.99
M00440,purchase_protection,2026-04-13,121.55
M00440,extended_warranty,2026-04-04,154.37
M00440,travel_delay,2026-02-13,172.26
M00440,lounge_access,2025-09-30,57.54
M00441,purchase_protection,2025-12-20,341.35
M00441,extended_warranty,2025-12-30,124.36
M00441,travel_delay,2026-03-25,636.87
M00441,hotel_credit,2026-06-25,342.34
M00441,return_protection,2025-10-18,59.38
M00442,travel_delay,2026-07-16,485.75
M00442,hotel_credit,2026-04-18,144.49
M00443,extended_warranty,2026-06-10,544.34
M00443,travel_delay,2026-04-18,716.69
M00444,hotel_credit,2026-02-26,155.19
M00445,lounge_access,2026-06-16,63.03
M00445,hotel_credit,2025-12-02,56.43
M00446,extended_warranty,2026-05-30,45.9
M00446,travel_delay,2026-03-22,277.1
M00446,lounge_access,2026-07-23,52.16
M00448,purchase_protection,2026-04-05,218.8
